PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"1820772","Goya's living skeleton","Park RH, Park MP.","BMJ. 1991 Dec 21-28;303(6817):1594-6. doi: 10.1136/bmj.303.6817.1594.","Park RH","BMJ","1991","1991/12/21","PMC1676240","","10.1136/bmj.303.6817.1594"
"1819261","Rationing: the search for sunlight","Smith R.","BMJ. 1991 Dec 21-28;303(6817):1561-2. doi: 10.1136/bmj.303.6817.1561.","Smith R","BMJ","1991","1991/12/21","PMC1676239","","10.1136/bmj.303.6817.1561"
"1773195","Countdown to the BMJ","Cooter M.","BMJ. 1991 Dec 21-28;303(6817):1615-9. doi: 10.1136/bmj.303.6817.1615.","Cooter M","BMJ","1991","1991/12/21","PMC1676224","","10.1136/bmj.303.6817.1615"
"1773194","Modifying chickenpox","Pennington E, Pennington S.","BMJ. 1991 Dec 21-28;303(6817):1614. doi: 10.1136/bmj.303.6817.1614.","Pennington E","BMJ","1991","1991/12/21","PMC1676248","","10.1136/bmj.303.6817.1614"
"1773193","A potpourri of parasites in poetry and proverb","Burns DA.","BMJ. 1991 Dec 21-28;303(6817):1611-4. doi: 10.1136/bmj.303.6817.1611.","Burns DA","BMJ","1991","1991/12/21","PMC1676245","","10.1136/bmj.303.6817.1611"
"1773192","Keeping the cat out of the bag: a hazard in continuous ambulatory peritoneal dialysis","Makin AJ, Cartwright KA, Banks RA.","BMJ. 1991 Dec 21-28;303(6817):1610-1. doi: 10.1136/bmj.303.6817.1610.","Makin AJ","BMJ","1991","1991/12/21","PMC1676241","","10.1136/bmj.303.6817.1610"
"1773191","Haemodynamic response in soccer spectators: is Scottish football exciting?","Elder AT, Jyothinagaram SG, Padfield PL, Shaw TR.","BMJ. 1991 Dec 21-28;303(6817):1609-10. doi: 10.1136/bmj.303.6817.1609.","Elder AT","BMJ","1991","1991/12/21","PMC1676237","","10.1136/bmj.303.6817.1609"
"1773190","How heavy the patient?","McKay K, Fozdar-Faroudi S, Bowman CE.","BMJ. 1991 Dec 21-28;303(6817):1608. doi: 10.1136/bmj.303.6817.1608.","McKay K","BMJ","1991","1991/12/21","PMC1676222","","10.1136/bmj.303.6817.1608"
"1773189","Give a drug a bad name","Jack DB, Soppitt AJ.","BMJ. 1991 Dec 21-28;303(6817):1606-8. doi: 10.1136/bmj.303.6817.1606.","Jack DB","BMJ","1991","1991/12/21","PMC1676242","","10.1136/bmj.303.6817.1606"
"1773188","How to have a fever of unknown origin","Burrows M.","BMJ. 1991 Dec 21-28;303(6817):1605-6. doi: 10.1136/bmj.303.6817.1605.","Burrows M","BMJ","1991","1991/12/21","PMC1676220","","10.1136/bmj.303.6817.1605"
"1773187","Do pathologists have extrasensory perception?","Bull AD, Cross SS, James DS, Silcocks PB.","BMJ. 1991 Dec 21-28;303(6817):1604-5. doi: 10.1136/bmj.303.6817.1604.","Bull AD","BMJ","1991","1991/12/21","PMC1676244","","10.1136/bmj.303.6817.1604"
"1773186","Microbial flora on doctors' white coats","Wong D, Nye K, Hollis P.","BMJ. 1991 Dec 21-28;303(6817):1602-4. doi: 10.1136/bmj.303.6817.1602.","Wong D","BMJ","1991","1991/12/21","PMC1676235","","10.1136/bmj.303.6817.1602"
"1773185","In defence of eponyms","Wright V.","BMJ. 1991 Dec 21-28;303(6817):1600-2. doi: 10.1136/bmj.303.6817.1600.","Wright V","BMJ","1991","1991/12/21","PMC1676228","","10.1136/bmj.303.6817.1600"
"1773184","Seeing for themselves","Kelly MJ.","BMJ. 1991 Dec 21-28;303(6817):1598-600. doi: 10.1136/bmj.303.6817.1598.","Kelly MJ","BMJ","1991","1991/12/21","PMC1676246","","10.1136/bmj.303.6817.1598"
"1773183","The Keppel Club (1952-74): lessons from the past for the future","Fry J.","BMJ. 1991 Dec 21-28;303(6817):1596-8. doi: 10.1136/bmj.303.6817.1596.","Fry J","BMJ","1991","1991/12/21","PMC1676238","","10.1136/bmj.303.6817.1596"
"1773182","Garcia da Orta in Goa: pioneering tropical medicine","D'Cruz IA.","BMJ. 1991 Dec 21-28;303(6817):1593-4. doi: 10.1136/bmj.303.6817.1593.","D'Cruz IA","BMJ","1991","1991/12/21","PMC1676233","","10.1136/bmj.303.6817.1593"
"1773181","Médecins Sans Frontières: 20 years old","Dorozynski A.","BMJ. 1991 Dec 21-28;303(6817):1591-2. doi: 10.1136/bmj.303.6817.1591.","Dorozynski A","BMJ","1991","1991/12/21","PMC1676227","","10.1136/bmj.303.6817.1591"
"1773180","Vincent van Gogh's illness: acute intermittent porphyria?","Loftus LS, Arnold WN.","BMJ. 1991 Dec 21-28;303(6817):1589-91. doi: 10.1136/bmj.303.6817.1589.","Loftus LS","BMJ","1991","1991/12/21","PMC1676250","","10.1136/bmj.303.6817.1589"
"1773179","Changing the hideous face of war","Grogono BJ.","BMJ. 1991 Dec 21-28;303(6817):1586-8. doi: 10.1136/bmj.303.6817.1586.","Grogono BJ","BMJ","1991","1991/12/21","PMC1676232","","10.1136/bmj.303.6817.1586"
"1773178","Death of a heart surgeon: reflections on press accounts of the murder of Victor Chang","Lupton D, Chapman S.","BMJ. 1991 Dec 21-28;303(6817):1583-6. doi: 10.1136/bmj.303.6817.1583.","Lupton D","BMJ","1991","1991/12/21","PMC1676230","","10.1136/bmj.303.6817.1583"
"1773177","First among women","Grace P.","BMJ. 1991 Dec 21-28;303(6817):1582-3. doi: 10.1136/bmj.303.6817.1582.","Grace P","BMJ","1991","1991/12/21","PMC1676225","","10.1136/bmj.303.6817.1582"
"1773176","Hugh Owen Thomas: the cripple's champion","Carter AJ.","BMJ. 1991 Dec 21-28;303(6817):1578-81. doi: 10.1136/bmj.303.6817.1578.","Carter AJ","BMJ","1991","1991/12/21","PMC1676236","","10.1136/bmj.303.6817.1578"
"1773175","Economics, health, and the economics of health","Normand C.","BMJ. 1991 Dec 21-28;303(6817):1572-7. doi: 10.1136/bmj.303.6817.1572.","Normand C","BMJ","1991","1991/12/21","PMC1676249","","10.1136/bmj.303.6817.1572"
"1773174","Discovery in medicine","Kennedy AC.","BMJ. 1991 Dec 21-28;303(6817):1569-72. doi: 10.1136/bmj.303.6817.1569.","Kennedy AC","BMJ","1991","1991/12/21","PMC1676234","","10.1136/bmj.303.6817.1569"
"1773173","Chaos--predicting the unpredictable","Firth WJ.","BMJ. 1991 Dec 21-28;303(6817):1565-8. doi: 10.1136/bmj.303.6817.1565.","Firth WJ","BMJ","1991","1991/12/21","PMC1676229","","10.1136/bmj.303.6817.1565"
"1773172","Aboriginal skeletons in the closet","Delamothe T.","BMJ. 1991 Dec 21-28;303(6817):1564. doi: 10.1136/bmj.303.6817.1564.","Delamothe T","BMJ","1991","1991/12/21","PMC1676223","","10.1136/bmj.303.6817.1564"
"1773171","On lightning","Smith T.","BMJ. 1991 Dec 21-28;303(6817):1563. doi: 10.1136/bmj.303.6817.1563.","Smith T","BMJ","1991","1991/12/21","PMC1676247","","10.1136/bmj.303.6817.1563"
"1773170","Physicians for Human Rights (UK)","Hall P.","BMJ. 1991 Dec 21-28;303(6817):1562-3. doi: 10.1136/bmj.303.6817.1562.","Hall P","BMJ","1991","1991/12/21","PMC1676243","","10.1136/bmj.303.6817.1562"
"11642958","Patients' rights in research","Warden J.","BMJ. 1991 Dec 14;303(6816):1498.","Warden J","BMJ","1991","1991/12/14","PMC1671846","",""
"11642957","Reducing toxicity tests on animals","Balls M.","BMJ. 1991 Dec 14;303(6816):1494-5.","Balls M","BMJ","1991","1991/12/14","","",""
"11642956","GMC gets tough with fraudulent doctors","Dillner L.","BMJ. 1991 Dec 14;303(6816):1493. doi: 10.1136/bmj.303.6816.1493.","Dillner L","BMJ","1991","1991/12/14","","","10.1136/bmj.303.6816.1493"
"1845301","Dietary reduction of serum cholesterol concentration","Ramsay LE, Yeo WW, Jackson PR.","BMJ. 1991 Dec 14;303(6816):1551. doi: 10.1136/bmj.303.6816.1551-b.","Ramsay LE","BMJ","1991","1991/12/14","PMC1671831","","10.1136/bmj.303.6816.1551-b"
"1843459","Coronary heart disease","McMurray J, Dargie HJ.","BMJ. 1991 Dec 14;303(6816):1546-7. doi: 10.1136/bmj.303.6816.1546-a.","McMurray J","BMJ","1991","1991/12/14","PMC1671793","","10.1136/bmj.303.6816.1546-a"
"1838292","Bile duct stones and laparoscopic cholecystectomy","","BMJ. 1991 Dec 14;303(6816):1547-8. doi: 10.1136/bmj.303.6816.1547-b.","","BMJ","1991","1991/12/14","PMC1671823","","10.1136/bmj.303.6816.1547-b"
"1838291","Response of carpal tunnel syndrome to hormone replacement therapy","Confino-Cohen R, Lishner M, Savin H, Lang R, Ravid M.","BMJ. 1991 Dec 14;303(6816):1514. doi: 10.1136/bmj.303.6816.1514.","Confino-Cohen R","BMJ","1991","1991/12/14","PMC1671863","","10.1136/bmj.303.6816.1514"
"1838290","Injuries from antipersonnel mines: the experience of the International Committee of the Red Cross","Coupland RM, Korver A.","BMJ. 1991 Dec 14;303(6816):1509-12. doi: 10.1136/bmj.303.6816.1509.","Coupland RM","BMJ","1991","1991/12/14","PMC1671849","","10.1136/bmj.303.6816.1509"
"1838289","Effects of intravenous magnesium in suspected acute myocardial infarction: overview of randomised trials","Teo KK, Yusuf S, Collins R, Held PH, Peto R.","BMJ. 1991 Dec 14;303(6816):1499-503. doi: 10.1136/bmj.303.6816.1499.","Teo KK","BMJ","1991","1991/12/14","PMC1671862","","10.1136/bmj.303.6816.1499"
"1815574","Audit of radiological investigations","Bissett RA.","BMJ. 1991 Dec 14;303(6816):1552-3. doi: 10.1136/bmj.303.6816.1552-c.","Bissett RA","BMJ","1991","1991/12/14","PMC1671856","","10.1136/bmj.303.6816.1552-c"
"1815573","Health and the environment: population","","BMJ. 1991 Dec 14;303(6816):1547.","","BMJ","1991","1991/12/14","PMC1671819","",""
"1782514","Rationing: at the cutting edge","Parsons V.","BMJ. 1991 Dec 14;303(6816):1553. doi: 10.1136/bmj.303.6816.1553-a.","Parsons V","BMJ","1991","1991/12/14","PMC1671802","","10.1136/bmj.303.6816.1553-a"
"1782513","Bell ringers' bruises and broken bones","Gullick D.","BMJ. 1991 Dec 14;303(6816):1553. doi: 10.1136/bmj.303.6816.1553-b.","Gullick D","BMJ","1991","1991/12/14","PMC1671840","","10.1136/bmj.303.6816.1553-b"
"1782512","Adolescent smokers seen in general practice","Dukes C.","BMJ. 1991 Dec 14;303(6816):1553. doi: 10.1136/bmj.303.6816.1553.","Dukes C","BMJ","1991","1991/12/14","PMC1671837","","10.1136/bmj.303.6816.1553"
"1782511","Rugby injuries","Beer I.","BMJ. 1991 Dec 14;303(6816):1552. doi: 10.1136/bmj.303.6816.1552.","Beer I","BMJ","1991","1991/12/14","PMC1671811","","10.1136/bmj.303.6816.1552"
"1782510","Assault after ingestion of antidepressant","Hughes T, Sugarman P.","BMJ. 1991 Dec 14;303(6816):1552. doi: 10.1136/bmj.303.6816.1552-a.","Hughes T","BMJ","1991","1991/12/14","PMC1671848","","10.1136/bmj.303.6816.1552-a"
"1782509","Doctors and the Children Act","","BMJ. 1991 Dec 14;303(6816):1550-1.","","BMJ","1991","1991/12/14","PMC1671851","",""
"1782508","Manslaughter convictions for making mistakes","","BMJ. 1991 Dec 14;303(6816):1550. doi: 10.1136/bmj.303.6816.1550.","","BMJ","1991","1991/12/14","PMC1671838","","10.1136/bmj.303.6816.1550"
