PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"11682720","Doctor assisted suicide needs to be discussed","","BMJ. 1998 Jul 18;317(7152):214.","","BMJ","1998","2001/10/30","","",""
"11682719","There must be a better way","Koffman J.","BMJ. 1998 Jun 27;316(7149):1989-90.","Koffman J","BMJ","1998","2001/10/30","PMC1113433","",""
"11682718","Was the paper I wrote a fraud?","Bowie C.","BMJ. 1998 Jun 6;316(7146):1755-6.","Bowie C","BMJ","1998","2001/10/30","PMC1113300","",""
"11682717","Most patients don't read the BMJ","Rankine JJ.","BMJ. 1998 Mar 28;316(7136):1026-7.","Rankine JJ","BMJ","1998","2001/10/30","","",""
"11645133","UK authorities recommend human cloning for therapeutic research","Mayor S.","BMJ. 1998 Dec 12;317(7173):1613. doi: 10.1136/bmj.317.7173.1613.","Mayor S","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7173.1613"
"11645132","British public opposes human cloning","Matthews H.","BMJ. 1998 Dec 12;317(7173):1613. doi: 10.1136/bmj.317.7173.1613b.","Matthews H","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7173.1613b"
"11645131","Better palliative care could cut euthanasia","Matthews H.","BMJ. 1998 Dec 12;317(7173):1613. doi: 10.1136/bmj.317.7173.1613a.","Matthews H","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7173.1613a"
"11645130","Fatal episodes in medical history","Boettcher B.","BMJ. 1998 Dec 5;317(7172):1603.","Boettcher B","BMJ","1998","2001/10/20","","",""
"11645129","Doctors refuse to operate on 80 year old man","Kenyon G.","BMJ. 1998 Dec 5;317(7172):1548. doi: 10.1136/bmj.317.7172.1548.","Kenyon G","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7172.1548"
"11645126","GP found guilty of forging trial consent forms","Dyer O.","BMJ. 1998 Nov 28;317(7171):1475. doi: 10.1136/bmj.317.7171.1475a.","Dyer O","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7171.1475a"
"11645125","Indian Supreme Court rules that HIV positive people inform spouses","Mudur G.","BMJ. 1998 Nov 28;317(7171):1474. doi: 10.1136/bmj.317.7171.1474b.","Mudur G","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7171.1474b"
"11645124","Indian women's groups question contraceptive vaccine research","Mudur G.","BMJ. 1998 Nov 14;317(7169):1340. doi: 10.1136/bmj.317.7169.1340.","Mudur G","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7169.1340"
"11645123","UK Human Rights Act will allow challenges to treatment refusals","Dyer C.","BMJ. 1998 Nov 14;317(7169):1339. doi: 10.1136/bmj.317.7169.1339.","Dyer C","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7169.1339"
"11645117","Bavaria forced to lift abortion restrictions","Goldbeck-Wood S.","BMJ. 1998 Nov 7;317(7168):1272. doi: 10.1136/bmj.317.7168.1272a.","Goldbeck-Wood S","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7168.1272a"
"11645116","Doctors contributed to poor health of black South Africans","Sidley P.","BMJ. 1998 Nov 7;317(7168):1269. doi: 10.1136/bmj.317.7168.1269a.","Sidley P","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7168.1269a"
"11645115","Surgeons carry out too many operations on dying patients","Farriman A.","BMJ. 1998 Nov 7;317(7168):1269. doi: 10.1136/bmj.317.7168.1269.","Farriman A","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7168.1269"
"11645110","Surrogate mothers should be paid expenses only","Warden J.","BMJ. 1998 Oct 24;317(7166):1104. doi: 10.1136/bmj.317.7166.1104.","Warden J","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7166.1104"
"11645109","Parents can choose child's treatment","Dyer C.","BMJ. 1998 Oct 24;317(7166):1102. doi: 10.1136/bmj.317.7166.1102a.","Dyer C","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7166.1102a"
"11645108","Australian euthanasia law throws up many difficulties","Wise J.","BMJ. 1998 Oct 10;317(7164):969. doi: 10.1136/bmj.317.7164.969.","Wise J","BMJ","1998","2001/10/20","PMC56488","","10.1136/bmj.317.7164.969"
"11645107","Guidelines on assisted deaths criticised","Cooper-Mahkorn D.","BMJ. 1998 Oct 3;317(7163):904. doi: 10.1136/bmj.317.7163.904a.","Cooper-Mahkorn D","BMJ","1998","2001/10/20","PMC1174685","","10.1136/bmj.317.7163.904a"
"11645106","Mentally ill patients need protection from inappropriate genetic testing","Brooks A.","BMJ. 1998 Oct 3;317(7163):903. doi: 10.1136/bmj.317.7163.903.","Brooks A","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7163.903"
"11645105","U.S. doctors want no part in executions","Josefson D.","BMJ. 1998 Sep 12;317(7160):702. doi: 10.1136/bmj.317.7160.702a.","Josefson D","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7160.702a"
"11645103","Viagra falls: the debate over rationing continues -- Britain, France, Netherlands, Italy, Switzerland, Spain, United States, Germany, Israel","Beecham L, Dorozynski A, Sheldon T, Turone F, Mach A, Bosch X, Charatan FB, Mahkorn DT, Siegel-Itzkovich J.","BMJ. 1998 Sep 26;317(7162):836-8. doi: 10.1136/bmj.317.7162.833.","Beecham L","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7162.833"
"11645102","Aricept advertisement breached code","Wise J.","BMJ. 1998 Sep 19;317(7161):766. doi: 10.1136/bmj.317.7161.766a.","Wise J","BMJ","1998","2001/10/20","PMC1143595","","10.1136/bmj.317.7161.766a"
"11645095","Trials sponsored by drug companies: review ordered","Spurgeon D.","BMJ. 1998 Sep 5;317(7159):618. doi: 10.1136/bmj.317.7159.618.","Spurgeon D","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7159.618"
"11645090","Doctors banned from drug company trip","Siegel-Itzkovich J.","BMJ. 1998 Aug 8;317(7155):370. doi: 10.1136/bmj.317.7155.370a.","Siegel-Itzkovich J","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7155.370a"
"11645089","Xenotransplantation moves ahead in UK","Warden J.","BMJ. 1998 Aug 8;317(7155):365. doi: 10.1136/bmj.317.7155.365.","Warden J","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7155.365"
"11645088","France creates opt out register for organ donation","Dorozynski A.","BMJ. 1998 Jul 25;317(7153):234. doi: 10.1136/bmj.317.7153.234a.","Dorozynski A","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7153.234a"
"11645083","Doctors not obliged to accede to patients' requests to die","","BMJ. 1998 Jul 18;317(7152):217-8.","","BMJ","1998","2001/10/20","","",""
"11645082","Doctors' involvement in death penalty is morally wrong","","BMJ. 1998 Jul 18;317(7152):215-6.","","BMJ","1998","2001/10/20","","",""
"11645081","BMA to consult on withdrawing treatment","Beecham L.","BMJ. 1998 Jul 18;317(7152):165. doi: 10.1136/bmj.317.7152.165a.","Beecham L","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7152.165a"
"11645080","New safeguards planned for psychiatric patients","Dyer C.","BMJ. 1998 Jul 4;317(7150):7. doi: 10.1136/bmj.317.7150.7.","Dyer C","BMJ","1998","2001/10/20","","","10.1136/bmj.317.7150.7"
"11645075","Doctors involved in South Africa's biological warfare programme","Sidley P.","BMJ. 1998 Jun 20;316(7148):1852. doi: 10.1136/bmj.316.7148.1852a.","Sidley P","BMJ","1998","2001/10/20","","","10.1136/bmj.316.7148.1852a"
"11645074","Many journals have not retracted ""fraudulent"" research","Cooper-Mahkorn D.","BMJ. 1998 Jun 20;316(7148):1850. doi: 10.1136/bmj.316.7148.1850a.","Cooper-Mahkorn D","BMJ","1998","2001/10/20","","","10.1136/bmj.316.7148.1850a"
"11645073","Newcastle GP charged with murder","Dyer C.","BMJ. 1998 Jun 20;316(7148):1849. doi: 10.1136/bmj.316.7148.1849.","Dyer C","BMJ","1998","2001/10/20","","","10.1136/bmj.316.7148.1849"
"11645069","South Africa's liberal abortion laws challenged","Sidley P.","BMJ. 1998 Jun 6;316(7146):1696. doi: 10.1136/bmj.316.7146.1696a.","Sidley P","BMJ","1998","2001/10/20","PMC1174780","","10.1136/bmj.316.7146.1696a"
"11645068","Call for research misconduct agency","White C.","BMJ. 1998 Jun 6;316(7146):1695. doi: 10.1136/bmj.316.7146.1695a.","White C","BMJ","1998","2001/10/20","","","10.1136/bmj.316.7146.1695a"
"11645066","MRC cleared of unethical research practices","Kmietowicz Z.","BMJ. 1998 May 30;316(7145):1628. doi: 10.1136/bmj.316.7145.1625g.","Kmietowicz Z","BMJ","1998","2001/10/20","","","10.1136/bmj.316.7145.1625g"
"11645060","GMC approves new ethical guidance","Beecham L.","BMJ. 1998 May 23;316(7144):1556. doi: 10.1136/bmj.316.7144.1553g.","Beecham L","BMJ","1998","2001/10/20","","","10.1136/bmj.316.7144.1553g"
"11645059","Tobacco company set up network of sympathetic scientists","Dyer C.","BMJ. 1998 May 23;316(7144):1555.","Dyer C","BMJ","1998","2001/10/20","","",""
"11645058","Trusts face damages after forcing women to have ceasareans","Dyer C.","BMJ. 1998 May 16;316(7143):1480.","Dyer C","BMJ","1998","2001/10/20","","",""
"11645057","British public wants free health care, whatever the cost","Wise J.","BMJ. 1998 May 16;316(7143):1478.","Wise J","BMJ","1998","2001/10/20","","",""
"11645050","Denmark takes a lead on research ethics","Goldbeck-Wood S.","BMJ. 1998 Apr 18;316(7139):1189. doi: 10.1136/bmj.316.7139.1185j.","Goldbeck-Wood S","BMJ","1998","2001/10/20","","","10.1136/bmj.316.7139.1185j"
"11645049","Abortion stirs up controversy in Hungary","Kovac C.","BMJ. 1998 Apr 4;316(7137):1038. doi: 10.1136/bmj.316.7137.1037d.","Kovac C","BMJ","1998","2001/10/20","","","10.1136/bmj.316.7137.1037d"
"11645045","UK public calls for legislation over living wills","Dyer C.","BMJ. 1998 Mar 28;316(7136):959.","Dyer C","BMJ","1998","2001/10/20","","",""
"11645044","India to ban female sterilisation with malaria drug","Mudur G.","BMJ. 1998 Mar 28;316(7136):958. doi: 10.1136/bmj.316.7136.955g.","Mudur G","BMJ","1998","2001/10/20","","","10.1136/bmj.316.7136.955g"
"11645043","Chinese doctors speak out against forced organ donation","","BMJ. 1998 Mar 28;316(7136):956.","","BMJ","1998","2001/10/20","","",""
"11645042","Nuchal translucency -- screening without consent","Venn-Treloar J.","BMJ. 1998 Mar 28;316(7136):1027.","Venn-Treloar J","BMJ","1998","2001/10/20","","",""
"11645041","Studies that do not have informed consent from participants should not be published","Goodare H.","BMJ. 1998 Mar 28;316(7136):1004-5.","Goodare H","BMJ","1998","2001/10/20","","",""
"11645040","Trial subjects must be fully involved in design and approval of trials","Power L.","BMJ. 1998 Mar 28;316(7136):1003-4.","Power L","BMJ","1998","2001/10/20","","",""
"11645039","Informed consent -- a publisher's duty","Warnock M.","BMJ. 1998 Mar 28;316(7136):1002-3.","Warnock M","BMJ","1998","2001/10/20","","",""
"11645038","Changing the BMJ's position on informed consent would be counterproductive","Tobias JS.","BMJ. 1998 Mar 28;316(7136):1001-2.","Tobias JS","BMJ","1998","2001/10/20","","",""
"11645034","Judge misled over call for caesarean operation","Dyer C.","BMJ. 1998 Feb 21;316(7131):574.","Dyer C","BMJ","1998","2001/10/20","","",""
"11645033","Bills on human cloning are full of loopholes","Wise J.","BMJ. 1998 Feb 21;316(7131):573.","Wise J","BMJ","1998","2001/10/20","","",""
"11645025","Lethal injection is medicalising execution","White C.","BMJ. 1998 Jan 31;316(7128):328. doi: 10.1136/bmj.316.7128.327c.","White C","BMJ","1998","2001/10/20","PMC2665540","","10.1136/bmj.316.7128.327c"
"11645023","US journal embroiled in another conflict of interest scandal","Josefson D.","BMJ. 1998 Jan 24;316(7127):251. doi: 10.1136/bmj.316.7127.247i.","Josefson D","BMJ","1998","2001/10/20","PMC2665485","","10.1136/bmj.316.7127.247i"
"11645022","Dutch doctor refuses to treat smokers","Sheldon T.","BMJ. 1998 Jan 24;316(7127):250. doi: 10.1136/bmj.316.7127.247h.","Sheldon T","BMJ","1998","2001/10/20","PMC2665490","","10.1136/bmj.316.7127.247h"
"11645021","Editorial ethics","Benatar SR.","BMJ. 1998 Jan 10;316(7125):155-6. doi: 10.1136/bmj.316.7125.155a.","Benatar SR","BMJ","1998","2001/10/20","PMC2665391","","10.1136/bmj.316.7125.155a"
"11645019","BMJ to act on media abuse","Abbasi K.","BMJ. 1998 Jan 17;316(7126):170. doi: 10.1136/bmj.316.7126.167d.","Abbasi K","BMJ","1998","2001/10/20","PMC2665413","","10.1136/bmj.316.7126.167d"
"11645013","Report urges widespread reform of handling of NHS data","Carnall D.","BMJ. 1997 Dec 13;315(7122):1562. doi: 10.1136/bmj.315.7122.1559f.","Carnall D","BMJ","1997","2001/10/20","PMC2127974","","10.1136/bmj.315.7122.1559f"
"11645012","South African row over denial of dialysis","Sidley P.","BMJ. 1997 Dec 13;315(7122):1562. doi: 10.1136/bmj.315.7122.1559h.","Sidley P","BMJ","1997","2001/10/20","PMC2127970","","10.1136/bmj.315.7122.1559h"
"11645008","US state rules that a viable fetus is a person","Macready N.","BMJ. 1997 Dec 6;315(7121):1488. doi: 10.1136/bmj.315.7121.1485h.","Macready N","BMJ","1997","2001/10/20","PMC2127923","","10.1136/bmj.315.7121.1485h"
"11645007","EU approves rights to genetic material","Watson R.","BMJ. 1997 Dec 6;315(7121):1487. doi: 10.1136/bmj.315.7121.1485e.","Watson R","BMJ","1997","2001/10/20","PMC2127919","","10.1136/bmj.315.7121.1485e"
"11645006","British court allows terminally ill baby to die","Dyer C.","BMJ. 1997 Nov 29;315(7120):1398.","Dyer C","BMJ","1997","2001/10/20","PMC2127913","",""
"11645005","Yves Montand to be exhumed to test paternity","Dorozynski A.","BMJ. 1997 Nov 29;315(7120):1398. doi: 10.1136/bmj.315.7120.1397b.","Dorozynski A","BMJ","1997","2001/10/20","PMC2127909","","10.1136/bmj.315.7120.1397b"
"11645004","Human rights begin at home","","BMJ. 1997 Nov 29;315(7120):1387.","","BMJ","1997","2001/10/20","PMC2127906","",""
"11645000","More openness needed in palliative care","Corner J.","BMJ. 1997 Nov 8;315(7117):1242. doi: 10.1136/bmj.315.7117.1242.","Corner J","BMJ","1997","2001/10/20","PMC2127764","","10.1136/bmj.315.7117.1242"
"11644994","Murder charge against Dutch nursing home dropped","","BMJ. 1997 Sep 13;315(7109):624.","","BMJ","1997","2001/10/20","PMC2127459","",""
"11644976","Scientists call for whistleblowers' charter","Goldbeck-Wood S.","BMJ. 1997 Nov 15;315(7118):1252. doi: 10.1136/bmj.315.7118.1251c.","Goldbeck-Wood S","BMJ","1997","2001/10/20","PMC2127806","","10.1136/bmj.315.7118.1251c"
"11644975","French doctors apologise for wartime antisemitism","Dorozynski A.","BMJ. 1997 Nov 1;315(7116):1116. doi: 10.1136/bmj.315.7116.1111l.","Dorozynski A","BMJ","1997","2001/10/20","PMC2127718","","10.1136/bmj.315.7116.1111l"
"11644974","Jack Kevorkian","","BMJ. 1997 Nov 1;315(7116):1116.","","BMJ","1997","2001/10/20","PMC2127736","",""
"11644959","Gynaecologist admonished for removing ovaries without consent","Dyer C.","BMJ. 1997 Oct 4;315(7112):832.","Dyer C","BMJ","1997","2001/10/20","PMC2127561","",""
"11644958","US journal attacks unethical HIV trials","Josefson D.","BMJ. 1997 Sep 27;315(7111):765.","Josefson D","BMJ","1997","2001/10/20","PMC2127547","",""
"9917155","Deaths from low dose paracetamol poisoning. Use of oral methionine for overdose below threshold for acetylcysteine","Wright B, Crowe M.","BMJ. 1998 Dec 12;317(7173):1656-7.","Wright B","BMJ","1998","1999/01/23","","",""
"9917154","Deaths from low dose paracetamol poisoning. More evidence needed to change recommendations","D'Costa DF.","BMJ. 1998 Dec 12;317(7173):1656.","D'Costa DF","BMJ","1998","1999/01/23","","",""
"9917153","Deaths from low dose paracetamol poisoning. Lower threshold has probably not overburdened hospital services in Gloucester","Cammeron MG.","BMJ. 1998 Dec 12;317(7173):1656.","Cammeron MG","BMJ","1998","1999/01/23","","",""
"9917152","Deaths from low dose paracetamol poisoning. If in doubt use the antidote","Thomas SH.","BMJ. 1998 Dec 12;317(7173):1655-6.","Thomas SH","BMJ","1998","1999/01/23","","",""
"9917151","Deaths from low dose paracetamol poisoning. Several issues were not considered in the article","McAliskey DP.","BMJ. 1998 Dec 12;317(7173):1655.","McAliskey DP","BMJ","1998","1999/01/23","","",""
"9917150","Deaths from low dose paracetamol poisoning. Nomogram does not show absolute concentration for treatment","Aujla KS, Maclean VM, Richardson JR, Docherty EM.","BMJ. 1998 Dec 12;317(7173):1655.","Aujla KS","BMJ","1998","1999/01/23","","",""
"9890763","A patient's perspective","Stewart J.","BMJ. 1998 Dec 5;317(7172):1581-2.","Stewart J","BMJ","1998","1999/01/16","","",""
"9890762","Pakistan lags behind in reproductive health","Wallerstein C.","BMJ. 1998 Dec 5;317(7172):1546. doi: 10.1136/bmj.317.7172.1546a.","Wallerstein C","BMJ","1998","1999/01/16","","","10.1136/bmj.317.7172.1546a"
"9890761","US panel calls for research into effects of Ritalin","Charatan F.","BMJ. 1998 Dec 5;317(7172):1545. doi: 10.1136/bmj.317.7172.1545.","Charatan F","BMJ","1998","1999/01/16","","","10.1136/bmj.317.7172.1545"
