PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28715344","Community acquired pneumonia incidence before and after proton pump inhibitor prescription: population based study","Othman F, Crooks CJ, Card TR.","BMJ. 2016 Nov 15;355:i5813. doi: 10.1136/bmj.i5813.","Othman F","BMJ","2016","2017/07/18","PMC5110150","","10.1136/bmj.i5813"
"28291732","Can safety-netting improve cancer detection in patients with vague symptoms?","Nicholson BD, Mant D, Bankhead C.","BMJ. 2016 Nov 9;355:i5515. doi: 10.1136/bmj.i5515.","Nicholson BD","BMJ","2016","2017/03/15","","","10.1136/bmj.i5515"
"28114094","UK response to serial drug company misdemeanour-no action, no shame","Braillon A, Noble JH Jr, Bewley S.","BMJ. 2016 Jul 26;354:i4022. doi: 10.1136/bmj.i4022.","Braillon A","BMJ","2016","2017/01/24","","","10.1136/bmj.i4022"
"28039341","Michael John Imrie","Nicholson T, Wilkinson A.","BMJ. 2016 Dec 30;355:i6834. doi: 10.1136/bmj.i6834.","Nicholson T","BMJ","2016","2017/01/01","","","10.1136/bmj.i6834"
"28039173","High dose fish oil supplements in late pregnancy reduce asthma in offspring, finds study","Mayor S.","BMJ. 2016 Dec 30;356:i6861. doi: 10.1136/bmj.i6861.","Mayor S","BMJ","2016","2017/01/01","","","10.1136/bmj.i6861"
"28039152","Herbert Percival Cooper Harrison","Harrison M.","BMJ. 2016 Dec 30;355:i6704. doi: 10.1136/bmj.i6704.","Harrison M","BMJ","2016","2017/01/01","","","10.1136/bmj.i6704"
"28039151","Sex can affect participation, engagement, and adherence in trials","Avenell A, Robertson C, Stewart F, Boyers D, Douglas F, Archibald D, van Teijlingen E, Hoddinott P, Boachie C.","BMJ. 2016 Dec 30;355:i6754. doi: 10.1136/bmj.i6754.","Avenell A","BMJ","2016","2017/01/01","","","10.1136/bmj.i6754"
"28039128","Condescending neglect of northern Britain?","Rhein H.","BMJ. 2016 Dec 30;355:i6740. doi: 10.1136/bmj.i6740.","Rhein H","BMJ","2016","2017/01/01","","","10.1136/bmj.i6740"
"28039123","Interpretation of surrogate endpoints in the era of the 21st Century Cures Act","Knopf K, Baum M, Shimp WS, Bennett CL, Faith D, Fishman ML, Hrushesky WJ.","BMJ. 2016 Dec 30;355:i6286. doi: 10.1136/bmj.i6286.","Knopf K","BMJ","2016","2017/01/01","","","10.1136/bmj.i6286"
"28039121","Manslaughter trials ignore systemic failures","Ferner RE.","BMJ. 2016 Dec 30;355:i6630. doi: 10.1136/bmj.i6630.","Ferner RE","BMJ","2016","2017/01/01","","","10.1136/bmj.i6630"
"28039120","NHS services will close unless social care crisis is resolved, warns BMA leader","Kmietowicz Z.","BMJ. 2016 Dec 30;355:i6858. doi: 10.1136/bmj.i6858.","Kmietowicz Z","BMJ","2016","2017/01/01","","","10.1136/bmj.i6858"
"28039112","Pregnant women need vitamin D for neonatal health","Blair M.","BMJ. 2016 Dec 30;355:i6685. doi: 10.1136/bmj.i6685.","Blair M","BMJ","2016","2017/01/01","","","10.1136/bmj.i6685"
"28039111","Time for a rethink on appraisal and revalidation for older doctors","Sleath JD.","BMJ. 2016 Dec 30;355:i6749. doi: 10.1136/bmj.i6749.","Sleath JD","BMJ","2016","2017/01/01","","","10.1136/bmj.i6749"
