PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32499391","Covid-19: Lack of test and trace data are frustrating government scrutiny","Griffin S.","BMJ. 2020 Jun 4;369:m2239. doi: 10.1136/bmj.m2239.","Griffin S","BMJ","2020","2020/06/06","","","10.1136/bmj.m2239"
"32499382","Seven days in medicine: 27 May to 2 Jun 2020","","BMJ. 2020 Jun 3;369:m2185. doi: 10.1136/bmj.m2185.","","BMJ","2020","2020/06/06","","","10.1136/bmj.m2185"
"32499317","The ""virtual wards"" supporting patients with covid-19 in the community","Thornton J.","BMJ. 2020 Jun 4;369:m2119. doi: 10.1136/bmj.m2119.","Thornton J","BMJ","2020","2020/06/06","","","10.1136/bmj.m2119"
"32499313","Covid-19: Sweden should have done more, says architect of country's strategy","Wise J.","BMJ. 2020 Jun 4;369:m2227. doi: 10.1136/bmj.m2227.","Wise J","BMJ","2020","2020/06/06","","","10.1136/bmj.m2227"
"32499297","Evaluating the credibility of anchor based estimates of minimal important differences for patient reported outcomes: instrument development and reliability study","Devji T, Carrasco-Labra A, Qasim A, Phillips M, Johnston BC, Devasenapathy N, Zeraatkar D, Bhatt M, Jin X, Brignardello-Petersen R, Urquhart O, Foroutan F, Schandelmaier S, Pardo-Hernandez H, Vernooij RW, Huang H, Rizwan Y, Siemieniuk R, Lytvyn L, Patrick DL, Ebrahim S, Furukawa T, Nesrallah G, Schünemann HJ, Bhandari M, Thabane L, Guyatt GH.","BMJ. 2020 Jun 4;369:m1714. doi: 10.1136/bmj.m1714.","Devji T","BMJ","2020","2020/06/06","","","10.1136/bmj.m1714"
"32499295","Covid-19: Chief statistician criticises government over reporting of testing","Wise J.","BMJ. 2020 Jun 4;369:m2198. doi: 10.1136/bmj.m2198.","Wise J","BMJ","2020","2020/06/06","","","10.1136/bmj.m2198"
"32499292","Covid-19: Validity of key studies in doubt after leading journals issue expressions of concern","Iacobucci G.","BMJ. 2020 Jun 4;369:m2224. doi: 10.1136/bmj.m2224.","Iacobucci G","BMJ","2020","2020/06/06","","","10.1136/bmj.m2224"
"32499233","BMA urges plan to tackle backlog of patients awaiting non-covid treatment","Mahase E.","BMJ. 2020 Jun 4;369:m2238. doi: 10.1136/bmj.m2238.","Mahase E","BMJ","2020","2020/06/06","","","10.1136/bmj.m2238"
"32499229","Incidence, clinical outcomes, and transmission dynamics of severe coronavirus disease 2019 in California and Washington: prospective cohort study","","BMJ. 2020 Jun 4;369:m2205. doi: 10.1136/bmj.m2205.","","BMJ","2020","2020/06/06","","","10.1136/bmj.m2205"
"32499223","More countries report on antibiotic resistance but results are ""worrying,"" says WHO","Mahase E.","BMJ. 2020 Jun 4;369:m2217. doi: 10.1136/bmj.m2217.","Mahase E","BMJ","2020","2020/06/06","","","10.1136/bmj.m2217"
"32499219","Losing my licence meant I lost my independence","Barber Z.","BMJ. 2020 Jun 4;369:m1405. doi: 10.1136/bmj.m1405.","Barber Z","BMJ","2020","2020/06/06","","","10.1136/bmj.m1405"
"32499218","Persistence of viral RNA in stool samples from patients recovering from covid-19","","BMJ. 2020 Jun 4;369:m1866. doi: 10.1136/bmj.m1866.","","BMJ","2020","2020/06/06","","","10.1136/bmj.m1866"
"32499217","Even covid-19 can't kill the anti-vaccination movement","Megget K.","BMJ. 2020 Jun 4;369:m2184. doi: 10.1136/bmj.m2184.","Megget K","BMJ","2020","2020/06/06","","","10.1136/bmj.m2184"
"32499215","DRC faces new Ebola outbreak, covid-19, and measles all at once","Dyer O.","BMJ. 2020 Jun 4;369:m2219. doi: 10.1136/bmj.m2219.","Dyer O","BMJ","2020","2020/06/06","","","10.1136/bmj.m2219"
"32493767","Should governments continue lockdown to slow the spread of covid-19?","Melnick ER, Ioannidis JPA.","BMJ. 2020 Jun 3;369:m1924. doi: 10.1136/bmj.m1924.","Melnick ER","BMJ","2020","2020/06/05","","","10.1136/bmj.m1924"
"32493739","Kawasaki-like multisystem inflammatory syndrome in children during the covid-19 pandemic in Paris, France: prospective observational study","Toubiana J, Poirault C, Corsia A, Bajolle F, Fourgeaud J, Angoulvant F, Debray A, Basmaci R, Salvador E, Biscardi S, Frange P, Chalumeau M, Casanova JL, Cohen JF, Allali S.","BMJ. 2020 Jun 3;369:m2094. doi: 10.1136/bmj.m2094.","Toubiana J","BMJ","2020","2020/06/05","","","10.1136/bmj.m2094"
"32493728","Covid-19: Pandemic is having ""severe"" impact on non-communicable disease care, WHO survey finds","Dyer O.","BMJ. 2020 Jun 3;369:m2210. doi: 10.1136/bmj.m2210.","Dyer O","BMJ","2020","2020/06/05","","","10.1136/bmj.m2210"
"32493716","David Oliver: Covid-19 has highlighted the NHS's strengths and weaknesses","Oliver D.","BMJ. 2020 Jun 3;369:m2124. doi: 10.1136/bmj.m2124.","Oliver D","BMJ","2020","2020/06/05","","","10.1136/bmj.m2124"
"32493706","Covid-19: UK deaths approach 50 000, but rate declines","Griffin S.","BMJ. 2020 Jun 3;369:m2212. doi: 10.1136/bmj.m2212.","Griffin S","BMJ","2020","2020/06/05","","","10.1136/bmj.m2212"
"32493704","Pediatric inflammatory syndrome temporally related to covid-19","Son MBF.","BMJ. 2020 Jun 3;369:m2123. doi: 10.1136/bmj.m2123.","Son MBF","BMJ","2020","2020/06/05","","","10.1136/bmj.m2123"
"32493698","Open access journals: what you should know","Christopher E.","BMJ. 2020 Jun 3;369:m1057. doi: 10.1136/bmj.m1057.","Christopher E","BMJ","2020","2020/06/05","","","10.1136/bmj.m1057"
"32493696","Covid-19: Review of ethnic disparities is labelled ""whitewash"" for lack of recommendations","Iacobucci G.","BMJ. 2020 Jun 3;369:m2208. doi: 10.1136/bmj.m2208.","Iacobucci G","BMJ","2020","2020/06/05","","","10.1136/bmj.m2208"
"32493695","Correction","","BMJ. 2020 Jun 3;369:m2203. doi: 10.1136/bmj.m2203.","","BMJ","2020","2020/06/05","","","10.1136/bmj.m2203"
"32493694","Update to living systematic review","","BMJ. 2020 Jun 3;369:m2204. doi: 10.1136/bmj.m2204.","","BMJ","2020","2020/06/05","","","10.1136/bmj.m2204"
"32493692","Covid-19: Physical distancing of at least one metre is linked to large reduction in infection","Mahase E.","BMJ. 2020 Jun 3;369:m2211. doi: 10.1136/bmj.m2211.","Mahase E","BMJ","2020","2020/06/05","","","10.1136/bmj.m2211"
"32487711","Helen Salisbury: Testing times for GPs","Salisbury H.","BMJ. 2020 Jun 2;369:m2180. doi: 10.1136/bmj.m2180.","Salisbury H","BMJ","2020","2020/06/04","","","10.1136/bmj.m2180"
"32487701","Covid-19: Frontline doctors continue PPE fight","Shepherd A.","BMJ. 2020 Jun 2;369:m2188. doi: 10.1136/bmj.m2188.","Shepherd A","BMJ","2020","2020/06/04","","","10.1136/bmj.m2188"
"32487670","Johnson and Johnson pays hundreds of women in Scotland harmed by mesh implants","Dyer C.","BMJ. 2020 Jun 2;369:m2201. doi: 10.1136/bmj.m2201.","Dyer C","BMJ","2020","2020/06/04","","","10.1136/bmj.m2201"
"32487664","Covid-19: 146 researchers raise concerns over chloroquine study that halted WHO trial","Mahase E.","BMJ. 2020 Jun 2;369:m2197. doi: 10.1136/bmj.m2197.","Mahase E","BMJ","2020","2020/06/04","","","10.1136/bmj.m2197"
"32487585","Investing in the health of girls and women: a best buy for sustainable development","Remme M, Vassall A, Fernando G, Bloom DE.","BMJ. 2020 Jun 2;369:m1175. doi: 10.1136/bmj.m1175.","Remme M","BMJ","2020","2020/06/04","","","10.1136/bmj.m1175"
"32487547","Chief coroner's guidance on covid-19 deaths: workers outside the NHS are also vulnerable to risk","Watterson AE.","BMJ. 2020 Jun 2;369:m2179. doi: 10.1136/bmj.m2179.","Watterson AE","BMJ","2020","2020/06/04","","","10.1136/bmj.m2179"
"32487546","Covid-19 and ethnicity: it's too early to point to healthcare provider attitudes as a cause of poorer outcomes","Dimarco AD.","BMJ. 2020 Jun 2;369:m2181. doi: 10.1136/bmj.m2181.","Dimarco AD","BMJ","2020","2020/06/04","","","10.1136/bmj.m2181"
"32487540","Partha Kar: Covid-19-time for parity in commissioning diabetes services","Kar P.","BMJ. 2020 Jun 2;369:m2154. doi: 10.1136/bmj.m2154.","Kar P","BMJ","2020","2020/06/04","","","10.1136/bmj.m2154"
"32487536","How mental health services are adapting to provide care in the pandemic","Wilkinson E.","BMJ. 2020 Jun 2;369:m2106. doi: 10.1136/bmj.m2106.","Wilkinson E","BMJ","2020","2020/06/04","","","10.1136/bmj.m2106"
"32487515","Covid-19: Easing lockdown could risk second spike, say public health doctors","O'Dowd A.","BMJ. 2020 Jun 2;369:m2193. doi: 10.1136/bmj.m2193.","O'Dowd A","BMJ","2020","2020/06/04","","","10.1136/bmj.m2193"
"32487514","Covid-19: GPs angry they were not told about changes to shielding advice","Iacobucci G.","BMJ. 2020 Jun 2;369:m2196. doi: 10.1136/bmj.m2196.","Iacobucci G","BMJ","2020","2020/06/04","","","10.1136/bmj.m2196"
"32482732","US to withdraw from WHO as China has ""total control"" over it, Trump claims","Mahase E.","BMJ. 2020 Jun 1;369:m2178. doi: 10.1136/bmj.m2178.","Mahase E","BMJ","2020","2020/06/03","","","10.1136/bmj.m2178"
"32482708","How can I make the most of working from home?","Rimmer A.","BMJ. 2020 Jun 1;369:m2120. doi: 10.1136/bmj.m2120.","Rimmer A","BMJ","2020","2020/06/03","","","10.1136/bmj.m2120"
