PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"4635028","Technic of lumbar puncture","Vandam LD.","N Engl J Med. 1972 Dec 28;287(26):1358. doi: 10.1056/NEJM197212282872621.","Vandam LD","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872621"
"4635027","Cyanate effect on sickling","Charache S, Milner PF.","N Engl J Med. 1972 Dec 28;287(26):1357-8.","Charache S","N Engl J Med","1972","1972/12/28","","",""
"4635026","Effect of plasma expanders in toxemia of pregnancy","Cloeren SE, Lippert TH.","N Engl J Med. 1972 Dec 28;287(26):1356-7. doi: 10.1056/NEJM197212282872617.","Cloeren SE","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872617"
"4635025","Hypertension as a localizing sign of mass lesions of brainstem","Reis DJ, Doba N.","N Engl J Med. 1972 Dec 28;287(26):1355-6. doi: 10.1056/nejm197212282872616.","Reis DJ","N Engl J Med","1972","1972/12/28","","","10.1056/nejm197212282872616"
"4635024","Opinions for 1973","Ingelfinger FJ.","N Engl J Med. 1972 Dec 28;287(26):1353-4. doi: 10.1056/NEJM197212282872613.","Ingelfinger FJ","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872613"
"4635023","Staphylococcal scalded-skin syndrome in an adult","Levine G, Norden CW.","N Engl J Med. 1972 Dec 28;287(26):1339-40. doi: 10.1056/NEJM197212282872608.","Levine G","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872608"
"4635022","Two mechanisms of erythrocyte destruction in penicillin-induced hemolytic anemia","Kerr RO, Cardamone J, Dalmasso AP, Kaplan ME.","N Engl J Med. 1972 Dec 28;287(26):1322-5. doi: 10.1056/NEJM197212282872604.","Kerr RO","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872604"
"4635021","Bile composition at and after surgery in normal persons and patients with gallstones. Influence of cholecystectomy","Shaffer EA, Braasch JW, Small DM.","N Engl J Med. 1972 Dec 28;287(26):1317-22. doi: 10.1056/NEJM197212282872603.","Shaffer EA","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872603"
"4635020","Rejuvenation and freezing of outdated stored human red cells","Valeri CR, Zaroulis CG.","N Engl J Med. 1972 Dec 28;287(26):1307-13. doi: 10.1056/NEJM197212282872601.","Valeri CR","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872601"
"4628914","Leukemia-associated antigens","Boggs DR.","N Engl J Med. 1972 Dec 28;287(26):1352-3. doi: 10.1056/NEJM197212282872612.","Boggs DR","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872612"
"4564314","Anterior pituitary--six glands and one","Reichlin S.","N Engl J Med. 1972 Dec 28;287(26):1351-2. doi: 10.1056/NEJM197212282872611.","Reichlin S","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872611"
"4564313","Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 52-1972","","N Engl J Med. 1972 Dec 28;287(26):1343-50. doi: 10.1056/NEJM197212282872610.","","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872610"
"4564312","Rectal biopsy in inflammatory bowel disease","Morson BC.","N Engl J Med. 1972 Dec 28;287(26):1337-9. doi: 10.1056/NEJM197212282872607.","Morson BC","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872607"
"4564311","Elective operations for duodenal ulcer","Jordan PH Jr.","N Engl J Med. 1972 Dec 28;287(26):1329-37. doi: 10.1056/NEJM197212282872606.","Jordan PH Jr","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872606"
"4508354","Treatment of acute leukemia","Frei E 3rd, Jaffe N, Farber S.","N Engl J Med. 1972 Dec 28;287(26):1357. doi: 10.1056/NEJM197212282872619.","Frei E 3rd","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872619"
"4344040","Chiari-Frommel syndrome in a patient with primary adrenocortical insufficiency","Refetoff S, Block MB, Ehrlich EN, Friesen HG.","N Engl J Med. 1972 Dec 28;287(26):1326-8. doi: 10.1056/NEJM197212282872605.","Refetoff S","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872605"
"4344039","Isolated deficiency of follicle-stimulating hormone. Clinical and laboratory features","Rabin D, Spitz I, Bercovici B, Bell J, Laufer A, Benveniste R, Polishuk W.","N Engl J Med. 1972 Dec 28;287(26):1313-7. doi: 10.1056/NEJM197212282872602.","Rabin D","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872602"
"4264074","Prophylactic digitalis in hypertension","Tarazi RC, Masson GM.","N Engl J Med. 1972 Dec 28;287(26):1355. doi: 10.1056/NEJM197212282872615.","Tarazi RC","N Engl J Med","1972","1972/12/28","","","10.1056/NEJM197212282872615"
