PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"14489468","Comparison of the thrombotest with the one-stage prothrombin time","QUICK AJ, HUSSEY CV.","N Engl J Med. 1961 Dec 28;265:1286-9. doi: 10.1056/NEJM196112282652604.","QUICK AJ","N Engl J Med","1961","1961/12/28","","","10.1056/NEJM196112282652604"
"14472825","Parotid enlargement resulting from excessive ingestion of starch","MERKATZ IR.","N Engl J Med. 1961 Dec 28;265:1304-6. doi: 10.1056/NEJM196112282652608.","MERKATZ IR","N Engl J Med","1961","1961/12/28","","","10.1056/NEJM196112282652608"
"14465841","A wee drachm for the Journal","LISTER J.","N Engl J Med. 1961 Dec 28;265:1307-8. doi: 10.1056/NEJM196112282652610.","LISTER J","N Engl J Med","1961","1961/12/28","","","10.1056/NEJM196112282652610"
"14462856","Bacteriologic flora of the lower respiratory tract","LAURENZI GA, POTTER RT, KASS EH.","N Engl J Med. 1961 Dec 28;265:1273-8. doi: 10.1056/NEJM196112282652601.","LAURENZI GA","N Engl J Med","1961","1961/12/28","","","10.1056/NEJM196112282652601"
"14455007","The marshmallow as an aid to radiologic examination of the esophagus","KELLY JE Jr.","N Engl J Med. 1961 Dec 28;265:1306-7. doi: 10.1056/NEJM196112282652609.","KELLY JE Jr","N Engl J Med","1961","1961/12/28","","","10.1056/NEJM196112282652609"
"13917156","Silastic intravenous catheter","STEWART RD, SANISLOW CA.","N Engl J Med. 1961 Dec 28;265:1283-5. doi: 10.1056/NEJM196112282652603.","STEWART RD","N Engl J Med","1961","1961/12/28","","","10.1056/NEJM196112282652603"
"13908956","A family with S and C hemoglobins and the hereditary persistence of F hemoglobin. A comparison of C thalassemia disease with the CF syndrome","SCHNEIDER RG, LEVIN WC, EVERETT C.","N Engl J Med. 1961 Dec 28;265:1278-83. doi: 10.1056/NEJM196112282652602.","SCHNEIDER RG","N Engl J Med","1961","1961/12/28","","","10.1056/NEJM196112282652602"
"13907365","Certain aspects of allergy in children. A critical review of the recent literature","HILL LW.","N Engl J Med. 1961 Dec 28;265:1298-304 concl. doi: 10.1056/NEJM196112282652607.","HILL LW","N Engl J Med","1961","1961/12/28","","","10.1056/NEJM196112282652607"
"13902487","Bismuth nephrotoxicity. Report of a case","GRYBOSKI JD, GOTOFF SP.","N Engl J Med. 1961 Dec 28;265:1289-91. doi: 10.1056/NEJM196112282652605.","GRYBOSKI JD","N Engl J Med","1961","1961/12/28","","","10.1056/NEJM196112282652605"
"13865886","The responsibility of the university hospital in the synthesis of medicine, science and learning","BAUER W.","N Engl J Med. 1961 Dec 28;265:1292-8. doi: 10.1056/NEJM196112282652606.","BAUER W","N Engl J Med","1961","1961/12/28","","","10.1056/NEJM196112282652606"
"14489592","Fatal pseudomonas infection in burned patients. A clinical, bacteriologic and anatomic study","RABIN ER, GRABER CD, VOGEL EH Jr, FINKELSTEIN RA, TUMBUSCH WA.","N Engl J Med. 1961 Dec 21;265:1225-31. doi: 10.1056/NEJM196112212652501.","RABIN ER","N Engl J Med","1961","1961/12/21","","","10.1056/NEJM196112212652501"
"14455052","Bacterial endocarditis complicating repair of a ventricular septal defect. Report of a case cured after removal of silk sutures","KELSCH JV, THOMSON NB Jr.","N Engl J Med. 1961 Dec 21;265:1245-8. doi: 10.1056/NEJM196112212652505.","KELSCH JV","N Engl J Med","1961","1961/12/21","","","10.1056/NEJM196112212652505"
"14006689","Abnormal spectrophotometric absorption spectrums of myoglobin in two forms of progressive muscular dystrophy","WHORTON CM, HUDGINS PC, CONNERS JJ.","N Engl J Med. 1961 Dec 21;265:1242-5. doi: 10.1056/NEJM196112212652504.","WHORTON CM","N Engl J Med","1961","1961/12/21","","","10.1056/NEJM196112212652504"
"14004686","Tic-tac-toe burns--the hazard of exposed floor-type room heaters","WALLER JA.","N Engl J Med. 1961 Dec 21;265:1256-7. doi: 10.1056/NEJM196112212652508.","WALLER JA","N Engl J Med","1961","1961/12/21","","","10.1056/NEJM196112212652508"
"13916016","Vesicular pharyngitis associated with Coxsackie virus group B, type 5","ST GEME JW Jr, PRINCE JT.","N Engl J Med. 1961 Dec 21;265:1255-6. doi: 10.1056/NEJM196112212652507.","ST GEME JW Jr","N Engl J Med","1961","1961/12/21","","","10.1056/NEJM196112212652507"
"13911561","Tropical sprue and vitamin B12","SHEEHY TW, PEREZ-SANTIAGO E, RUBINI ME.","N Engl J Med. 1961 Dec 21;265:1232-6. doi: 10.1056/NEJM196112212652502.","SHEEHY TW","N Engl J Med","1961","1961/12/21","","","10.1056/NEJM196112212652502"
"13907366","Certain aspects of allergy in children. A critical review of the recent literature","HILL LW.","N Engl J Med. 1961 Dec 21;265:1248-54 contd. doi: 10.1056/NEJM196112212652506.","HILL LW","N Engl J Med","1961","1961/12/21","","","10.1056/NEJM196112212652506"
"14456995","Surgical resection of a tuberculous aneurysm of the ascending aorta. Report of a case","KLINE JL, DURANT J.","N Engl J Med. 1961 Dec 14;265:1185-7. doi: 10.1056/NEJM196112142652404.","KLINE JL","N Engl J Med","1961","1961/12/14","","","10.1056/NEJM196112142652404"
"14452017","Allergic hepatitis caused by propionyl erythromycin ester of lauryl sulfate","JOHNSON DF Jr, HALL WH.","N Engl J Med. 1961 Dec 14;265:1200-2. doi: 10.1056/NEJM196112142652407.","JOHNSON DF Jr","N Engl J Med","1961","1961/12/14","","","10.1056/NEJM196112142652407"
"14010098","The case of the perilous prune pit","ZELMAN S.","N Engl J Med. 1961 Dec 14;265:1202-4. doi: 10.1056/NEJM196112142652408.","ZELMAN S","N Engl J Med","1961","1961/12/14","","","10.1056/NEJM196112142652408"
"13917165","Effects of the National Health Service on physician utilization and health in England and Wales","STEWART WH, ENTERLINE PE.","N Engl J Med. 1961 Dec 14;265:1187-94. doi: 10.1056/NEJM196112142652405.","STEWART WH","N Engl J Med","1961","1961/12/14","","","10.1056/NEJM196112142652405"
"13913107","Effective control of staphylococci in a nursery","SIMON HJ, YAFFE SJ, GLUCK L.","N Engl J Med. 1961 Dec 14;265:1171-6. doi: 10.1056/NEJM196112142652401.","SIMON HJ","N Engl J Med","1961","1961/12/14","","","10.1056/NEJM196112142652401"
"13908788","Thrombocytopenia and bleeding tendency after extracorporeal circulation","SCHMIDT PJ, PEDEN JC Jr, BRECHER G, BARANOVSKY A.","N Engl J Med. 1961 Dec 14;265:1181-5. doi: 10.1056/NEJM196112142652403.","SCHMIDT PJ","N Engl J Med","1961","1961/12/14","","","10.1056/NEJM196112142652403"
"13907364","Certain aspects of allergy in children. A critical review of the recent literature","HILL LW.","N Engl J Med. 1961 Dec 14;265:1194-200 contd. doi: 10.1056/NEJM196112142652406.","HILL LW","N Engl J Med","1961","1961/12/14","","","10.1056/NEJM196112142652406"
"13899302","Effect of an antiseptic skin-care regimen in reducing in reducing staphylococcal colonization in newborn infants","GLUCK L, WOOD HF.","N Engl J Med. 1961 Dec 14;265:1177-81. doi: 10.1056/NEJM196112142652402.","GLUCK L","N Engl J Med","1961","1961/12/14","","","10.1056/NEJM196112142652402"
"14488278","An in-phantom radiation detector","POTSAID MS, IRIE G.","N Engl J Med. 1961 Dec 7;265:1135-9. doi: 10.1056/NEJM196112072652303.","POTSAID MS","N Engl J Med","1961","1961/12/07","","","10.1056/NEJM196112072652303"
"14484254","Late symptoms due to traumatic hemopericardium","PASTOR BH, BETTS RH.","N Engl J Med. 1961 Dec 7;265:1139-43. doi: 10.1056/NEJM196112072652304.","PASTOR BH","N Engl J Med","1961","1961/12/07","","","10.1056/NEJM196112072652304"
"14454809","Studies of the epidemiology of staphylococcal infection. III. Clinical factors in susceptibility to staphylococcal disease","KEENE WR, MINCHEW BH, CLUFF LE.","N Engl J Med. 1961 Dec 7;265:1128-34. doi: 10.1056/NEJM196112072652302.","KEENE WR","N Engl J Med","1961","1961/12/07","","","10.1056/NEJM196112072652302"
"14037460","Vikenti Vikentievich VERESAEV (Smidovich), 1867-1945","RASKIN N.","N Engl J Med. 1961 Dec 7;265:1154-5. doi: 10.1056/NEJM196112072652309.","RASKIN N","N Engl J Med","1961","1961/12/07","","","10.1056/NEJM196112072652309"
"14008490","Incidence of pentosuria","WRIGHT WT.","N Engl J Med. 1961 Dec 7;265:1154. doi: 10.1056/NEJM196112072652308.","WRIGHT WT","N Engl J Med","1961","1961/12/07","","","10.1056/NEJM196112072652308"
"13914414","Therapeutic hypothermia","SMITH RM, STETSON JB.","N Engl J Med. 1961 Dec 7;265:1147-51 concl. doi: 10.1056/NEJM196112072652306.","SMITH RM","N Engl J Med","1961","1961/12/07","","","10.1056/NEJM196112072652306"
"13881576","Acute pericarditis produced by psicofuranine, a nucleoside analogue","COSTA G, HOLLAND JF, PICKREN JW.","N Engl J Med. 1961 Dec 7;265:1143-6. doi: 10.1056/NEJM196112072652305.","COSTA G","N Engl J Med","1961","1961/12/07","","","10.1056/NEJM196112072652305"
"14492892","Vesicular exanthem and stomatitis. Report of an epidemic due to Coxsacke virus Group A, Type 16","ROBINSON CR, RHODES AJ.","N Engl J Med. 1961 Nov 30;265:1104-5. doi: 10.1056/NEJM196111302652207.","ROBINSON CR","N Engl J Med","1961","1961/11/30","","","10.1056/NEJM196111302652207"
"14484810","Increased clotting factors in pregnacy","PECHET L, ALEXANDER B.","N Engl J Med. 1961 Nov 30;265:1093-7. doi: 10.1056/NEJM196111302652205.","PECHET L","N Engl J Med","1961","1961/11/30","","","10.1056/NEJM196111302652205"
"14473455","The prognosis of chronic ulcerative colitis in children","MICHENER WM, GAGE RP, SAUER WG, STICKELER GB.","N Engl J Med. 1961 Nov 30;265:1075-9. doi: 10.1056/NEJM196111302652201.","MICHENER WM","N Engl J Med","1961","1961/11/30","","","10.1056/NEJM196111302652201"
"14004651","Cushing's syndrome due to adrenocortical hyperplasia. Treatment with an inhibitor of adrenocortical secretions","WALLACE EZ, SILVERSTEIN JN, VILLADOLID LS, WEISENFELD S.","N Engl J Med. 1961 Nov 30;265:1088-93. doi: 10.1056/NEJM196111302652204.","WALLACE EZ","N Engl J Med","1961","1961/11/30","","","10.1056/NEJM196111302652204"
"13914413","Therapeutic hypothermia","SMITH RM, STETSON JB.","N Engl J Med. 1961 Nov 30;265:1097-103 contd. doi: 10.1056/NEJM196111302652206.","SMITH RM","N Engl J Med","1961","1961/11/30","","","10.1056/NEJM196111302652206"
"13890424","Discoid lupus erythematosus in a newborn infant","EPSTEIN HC, LITT JZ.","N Engl J Med. 1961 Nov 30;265:1106-7. doi: 10.1056/NEJM196111302652209.","EPSTEIN HC","N Engl J Med","1961","1961/11/30","","","10.1056/NEJM196111302652209"
"13879332","Pathogenesis of hypokalemic alkalosis in Cushing's syndrome","CHRISTY NP, LARAGH JH.","N Engl J Med. 1961 Nov 30;265:1083-8. doi: 10.1056/NEJM196111302652203.","CHRISTY NP","N Engl J Med","1961","1961/11/30","","","10.1056/NEJM196111302652203"
"13868149","A method for localization of the cardiac conduction system during open-heart surgery","BERNHARD WF, GRASS AM.","N Engl J Med. 1961 Nov 30;265:1079-83. doi: 10.1056/NEJM196111302652202.","BERNHARD WF","N Engl J Med","1961","1961/11/30","","","10.1056/NEJM196111302652202"
"14039097","Lung abscess. An analysis of the Massachusets General Hospital cases from 1943 through 1956","SCHWEPPE HI, KNOWLES JH, KANE L.","N Engl J Med. 1961 Nov 23;265:1039-43. doi: 10.1056/NEJM196111232652104.","SCHWEPPE HI","N Engl J Med","1961","1961/11/23","","","10.1056/NEJM196111232652104"
"14009735","Megaloblastic anemia in scurvy with response to 50 microgm. of folic acid daily","ZALUSKY R, HERBERT V.","N Engl J Med. 1961 Nov 23;265:1033-8. doi: 10.1056/NEJM196111232652103.","ZALUSKY R","N Engl J Med","1961","1961/11/23","","","10.1056/NEJM196111232652103"
"14005000","Congenital malformations","WARKANY J, KALTER H.","N Engl J Med. 1961 Nov 23;265:1046-52 concl. doi: 10.1056/NEJM196111232652106.","WARKANY J","N Engl J Med","1961","1961/11/23","","","10.1056/NEJM196111232652106"
"13901032","Management of migraine","GRAHAM JR.","N Engl J Med. 1961 Nov 23;265:1054-7. doi: 10.1056/NEJM196111232652108.","GRAHAM JR","N Engl J Med","1961","1961/11/23","","","10.1056/NEJM196111232652108"
"13899862","Control of viscerocutaneous fistulas by a new suction device","GOLDSMITH HS.","N Engl J Med. 1961 Nov 23;265:1052-4. doi: 10.1056/NEJM196111232652107.","GOLDSMITH HS","N Engl J Med","1961","1961/11/23","","","10.1056/NEJM196111232652107"
"13870848","Interference with bilirubin excretion by a gall-bladder dye (bunamiodyl)","BOLT RJ, DILLON RS, POLLARD HM.","N Engl J Med. 1961 Nov 23;265:1043-5. doi: 10.1056/NEJM196111232652105.","BOLT RJ","N Engl J Med","1961","1961/11/23","","","10.1056/NEJM196111232652105"
"13864173","Observations on the late effects of internally deposited mixtures of mesothorium and radium in twelve dial painters","BAKER WH, BULKLEY JB, DUDLEY RA, EVANS RD, McCLUSKEY HB, REEVES JD Jr, RYDER RH, SALTER LP, SHANAHAN MM.","N Engl J Med. 1961 Nov 23;265:1023-8. doi: 10.1056/NEJM196111232652101.","BAKER WH","N Engl J Med","1961","1961/11/23","","","10.1056/NEJM196111232652101"
"14496303","Smoking habits of high-school students in Newton, Massachusetts","SALBER EJ, GOLDMAN E, BUKA M, WELSH B.","N Engl J Med. 1961 Nov 16;265:969-74. doi: 10.1056/NEJM196111162652001.","SALBER EJ","N Engl J Med","1961","1961/11/16","","","10.1056/NEJM196111162652001"
"14492879","Aplastic anemia treated with bone-marrow transfusiuon from an identical twin","ROBINS MM, NOYES WD.","N Engl J Med. 1961 Nov 16;265:974-9. doi: 10.1056/NEJM196111162652002.","ROBINS MM","N Engl J Med","1961","1961/11/16","","","10.1056/NEJM196111162652002"
