PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
12501862,Thrombotic microangiopathies,"Tarr PI, Tsai HM, Chandler WL.",N Engl J Med. 2002 Dec 26;347(26):2171-3; author reply 2171-3.,Tarr PI,N Engl J Med,2002,12/28/2002,,,
12501861,Radical and simple mastectomy,Levitt SH.,N Engl J Med. 2002 Dec 26;347(26):2170-1; author reply 2170-1.,Levitt SH,N Engl J Med,2002,12/28/2002,,,
12501860,Radical and simple mastectomy,"Komorowski AL, Wysocki W.",N Engl J Med. 2002 Dec 26;347(26):2170-1; author reply 2170-1.,Komorowski AL,N Engl J Med,2002,12/28/2002,,,
12501859,Radical and simple mastectomy,"Badwe RA, Thorat MA, Havaldar RW.",N Engl J Med. 2002 Dec 26;347(26):2170-1; author reply 2170-1.,Badwe RA,N Engl J Med,2002,12/28/2002,,,
12501855,Regression of splenic lymphoma after treatment of hepatitis C virus infection,"Emens LA, Sulkowski MS.",N Engl J Med. 2002 Dec 26;347(26):2168-70; author reply 2168-70.,Emens LA,N Engl J Med,2002,12/28/2002,,,
12501854,Regression of splenic lymphoma after treatment of hepatitis C virus infection,"Agnello V, Mecucci C, Casato M.",N Engl J Med. 2002 Dec 26;347(26):2168-70; author reply 2168-70.,Agnello V,N Engl J Med,2002,12/28/2002,,,
12501850,Minimally invasive bypass surgery,Dragu RE.,N Engl J Med. 2002 Dec 26;347(26):2165-8; author reply 2165-8.,Dragu RE,N Engl J Med,2002,12/28/2002,,,
12501849,Minimally invasive bypass surgery,Wood WC.,N Engl J Med. 2002 Dec 26;347(26):2165-8; author reply 2165-8.,Wood WC,N Engl J Med,2002,12/28/2002,,,
12501848,Minimally invasive bypass surgery,"D'Ancona G, Karamanoukian H.",N Engl J Med. 2002 Dec 26;347(26):2165-8; author reply 2165-8.,D'Ancona G,N Engl J Med,2002,12/28/2002,,,
12501846,Minimally invasive bypass surgery,LoGerfo FW.,N Engl J Med. 2002 Dec 26;347(26):2165-8; author reply 2165-8.,LoGerfo FW,N Engl J Med,2002,12/28/2002,,,
12501237,Independent external review of health maintenance organizations' medical-necessity decisions,Mariner WK.,N Engl J Med. 2002 Dec 26;347(26):2178-82. doi: 10.1056/NEJMlim021769.,Mariner WK,N Engl J Med,2002,12/27/2002,,,10.1056/NEJMlim021769
12501236,Multidrug resistance in Aspergillus fumigatus,"Warris A, Weemaes CM, Verweij PE.",N Engl J Med. 2002 Dec 26;347(26):2173-4. doi: 10.1056/NEJM200212263472618.,Warris A,N Engl J Med,2002,12/27/2002,,,10.1056/NEJM200212263472618
12501235,Nonfinancial conflicts of interest in research,"Sollitto S, Youngner S, Lederman MM.",N Engl J Med. 2002 Dec 26;347(26):2173. doi: 10.1056/NEJM200212263472617.,Sollitto S,N Engl J Med,2002,12/27/2002,,,10.1056/NEJM200212263472617
12501234,Thrombotic microangiopathies,Nzerue CM.,N Engl J Med. 2002 Dec 26;347(26):2171-3; author reply 2171-3. doi: 10.1056/NEJM200212263472616.,Nzerue CM,N Engl J Med,2002,12/27/2002,,,10.1056/NEJM200212263472616
12501233,Radical and simple mastectomy,Somlo G.,N Engl J Med. 2002 Dec 26;347(26):2170-1; author reply 2170-1. doi: 10.1056/NEJM200212263472615.,Somlo G,N Engl J Med,2002,12/27/2002,,,10.1056/NEJM200212263472615
12501232,Regression of splenic lymphoma after treatment of hepatitis C virus infection,"Mazzaro C, Little D, Pozzato G.",N Engl J Med. 2002 Dec 26;347(26):2168-70; author reply 2168-70. doi: 10.1056/NEJM200212263472614.,Mazzaro C,N Engl J Med,2002,12/27/2002,,,10.1056/NEJM200212263472614
12501231,Minimally invasive bypass surgery,"Drenth DJ, Veeger NJ, Boonstra PW.",N Engl J Med. 2002 Dec 26;347(26):2165-8; author reply 2165-8. doi: 10.1056/NEJM200212263472613.,Drenth DJ,N Engl J Med,2002,12/27/2002,,,10.1056/NEJM200212263472613
