PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32905696","Audio Interview: Guidelines for Covid-19 Vaccine Development","Rubin EJ, Baden LR, Morrissey S.","N Engl J Med. 2020 Sep 10;383(11):e88. doi: 10.1056/NEJMe2029435.","Rubin EJ","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMe2029435"
"32905695","Cardiovascular Consequences of Acute Kidney Injury. Reply","Legrand M, Rossignol P.","N Engl J Med. 2020 Sep 10;383(11):1094. doi: 10.1056/NEJMc2023901.","Legrand M","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMc2023901"
"32905694","Cardiovascular Consequences of Acute Kidney Injury","Chalikias G, Tziakas D.","N Engl J Med. 2020 Sep 10;383(11):1094. doi: 10.1056/NEJMc2023901.","Chalikias G","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMc2023901"
"32905693","Cardiovascular Consequences of Acute Kidney Injury","Burtscher J, Millet GP, Burtscher M.","N Engl J Med. 2020 Sep 10;383(11):1093. doi: 10.1056/NEJMc2023901.","Burtscher J","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMc2023901"
"32905692","FDA Label for Over-the-Counter Naloxone. Reply","Cohen BR, Baro E, Pike-McCrudden A.","N Engl J Med. 2020 Sep 10;383(11):1093. doi: 10.1056/NEJMc2023426.","Cohen BR","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMc2023426"
"32905691","FDA Label for Over-the-Counter Naloxone","Fisher DM, Shafer SL.","N Engl J Med. 2020 Sep 10;383(11):1092-1093. doi: 10.1056/NEJMc2023426.","Fisher DM","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMc2023426"
"32905690","Management of Coronary Disease in Patients with Advanced Kidney Disease. Reply","Bangalore S, Maron DJ, Hochman JS.","N Engl J Med. 2020 Sep 10;383(11):1091-1092. doi: 10.1056/NEJMc2024023.","Bangalore S","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMc2024023"
"32905689","Management of Coronary Disease in Patients with Advanced Kidney Disease","Ying T, Gill JS, Chadban S.","N Engl J Med. 2020 Sep 10;383(11):1091. doi: 10.1056/NEJMc2024023.","Ying T","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMc2024023"
"32905688","Management of Coronary Disease in Patients with Advanced Kidney Disease","Afsar B, Elsurer Afsar R, Kanbay M.","N Engl J Med. 2020 Sep 10;383(11):1090-1091. doi: 10.1056/NEJMc2024023.","Afsar B","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMc2024023"
"32905687","Management of Coronary Disease in Patients with Advanced Kidney Disease","Shetty HB, Shetty AH.","N Engl J Med. 2020 Sep 10;383(11):1090. doi: 10.1056/NEJMc2024023.","Shetty HB","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMc2024023"
"32905686","Management of Coronary Disease in Patients with Advanced Kidney Disease","Webster MWI, Stewart RAH.","N Engl J Med. 2020 Sep 10;383(11):1090. doi: 10.1056/NEJMc2024023.","Webster MWI","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMc2024023"
"32905685","Racial Differences in Genomic Profiling of Prostate Cancer","Mahal BA, Alshalalfa M, Kensler KH, Chowdhury-Paulino I, Kantoff P, Mucci LA, Schaeffer EM, Spratt D, Yamoah K, Nguyen PL, Rebbeck TR.","N Engl J Med. 2020 Sep 10;383(11):1083-1085. doi: 10.1056/NEJMc2000069.","Mahal BA","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMc2000069"
"32905684","Trained Innate Immunity, Epigenetics, and Covid-19","Mantovani A, Netea MG.","N Engl J Med. 2020 Sep 10;383(11):1078-1080. doi: 10.1056/NEJMcibr2011679.","Mantovani A","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMcibr2011679"
"32905683","Treatment of Hemophilia - More Amazing Progress","Mannucci PM.","N Engl J Med. 2020 Sep 10;383(11):1068-1070. doi: 10.1056/NEJMe2024545.","Mannucci PM","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMe2024545"
"32905682","Building an Evidence Base for Survivors of Critical Illness","Lamas D.","N Engl J Med. 2020 Sep 10;383(11):1067-1068. doi: 10.1056/NEJMe2024625.","Lamas D","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMe2024625"
"32905681","Case 28-2020: A 64-Year-Old Man with Intrusive Thoughts and Fear of Being Poisoned","Trinh NT, Apollon O, Collier SA.","N Engl J Med. 2020 Sep 10;383(11):1058-1065. doi: 10.1056/NEJMcpc2004981.","Trinh NT","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMcpc2004981"
"32905680","Parasite in the Appendix","Julien C, Omouri A.","N Engl J Med. 2020 Sep 10;383(11):e72. doi: 10.1056/NEJMicm2001893.","Julien C","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMicm2001893"
"32905679","Naegleria fowleri","Harris GR, Batra R.","N Engl J Med. 2020 Sep 10;383(11):1057. doi: 10.1056/NEJMicm2002528.","Harris GR","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMicm2002528"
"32905678","Family Meetings on Behalf of Patients with Serious Illness","Widera E, Anderson WG, Santhosh L, McKee KY, Smith AK, Frank J.","N Engl J Med. 2020 Sep 10;383(11):e71. doi: 10.1056/NEJMvcm1913056.","Widera E","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMvcm1913056"
"32905677","Pharmacologic Treatment of Attention Deficit-Hyperactivity Disorder","Cortese S.","N Engl J Med. 2020 Sep 10;383(11):1050-1056. doi: 10.1056/NEJMra1917069.","Cortese S","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMra1917069"
"32905676","Nonmetastatic, Castration-Resistant Prostate Cancer and Survival with Darolutamide","Fizazi K, Shore N, Tammela TL, Ulys A, Vjaters E, Polyakov S, Jievaltas M, Luz M, Alekseev B, Kuss I, Le Berre MA, Petrenciuc O, Snapir A, Sarapohja T, Smith MR; ARAMIS Investigators.","N Engl J Med. 2020 Sep 10;383(11):1040-1049. doi: 10.1056/NEJMoa2001342.","Fizazi K","N Engl J Med","2020","2020/09/09","","","10.1056/NEJMoa2001342"
