PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"514336","Washington Report. On the state of American research","Greenberg DS.","N Engl J Med. 1979 Dec 27;301(26):1455-6. doi: 10.1056/NEJM197912273012629.","Greenberg DS","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012629"
"514335","Treatment of cryptococcal meningitis","Last JA, Cross CE.","N Engl J Med. 1979 Dec 27;301(26):1451.","Last JA","N Engl J Med","1979","1979/12/27","","",""
"514334","Treatment of cryptococcal meningitis","Graham DR.","N Engl J Med. 1979 Dec 27;301(26):1451.","Graham DR","N Engl J Med","1979","1979/12/27","","",""
"514333","Prophylaxis in contacts of patients with rabies","Hoffer J.","N Engl J Med. 1979 Dec 27;301(26):1451. doi: 10.1056/NEJM197912273012619.","Hoffer J","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012619"
"514332","Urinary chloride excretion in suspected Bartter's syndrome","Chan MK, Varghese Z, Moorhead JF.","N Engl J Med. 1979 Dec 27;301(26):1450. doi: 10.1056/nejm197912273012616.","Chan MK","N Engl J Med","1979","1979/12/27","","","10.1056/nejm197912273012616"
"514331","Alkalosis from chloride-deficient Neo-Mull-Soy","Kaufman AM, Mac-Moune F, Kahn T.","N Engl J Med. 1979 Dec 27;301(26):1449.","Kaufman AM","N Engl J Med","1979","1979/12/27","","",""
"514330","Secondary spread of H. influenzae","Smith PW.","N Engl J Med. 1979 Dec 27;301(26):1448.","Smith PW","N Engl J Med","1979","1979/12/27","","",""
"514329","Secondary spread of H. influenzae","Granoff DM.","N Engl J Med. 1979 Dec 27;301(26):1448.","Granoff DM","N Engl J Med","1979","1979/12/27","","",""
"514328","Secondary spread of H. influenzae","Davey PG, Cruckshank JK.","N Engl J Med. 1979 Dec 27;301(26):1448. doi: 10.1056/NEJM197912273012614.","Davey PG","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012614"
"514327","Sounding board. Prostaglandins, the glucoreceptor, and diabetes","Robertson RP, Metz SA.","N Engl J Med. 1979 Dec 27;301(26):1446-7. doi: 10.1056/NEJM197912273012612.","Robertson RP","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012612"
"514326","Holiday time","Relman AS, Rennie D.","N Engl J Med. 1979 Dec 27;301(26):1445. doi: 10.1056/NEJM197912273012611.","Relman AS","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012611"
"514325","A case of metabolic mimicry","Karnovsky ML.","N Engl J Med. 1979 Dec 27;301(26):1442-3. doi: 10.1056/NEJM197912273012609.","Karnovsky ML","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012609"
"514324","Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 52--1979","","N Engl J Med. 1979 Dec 27;301(26):1435-41. doi: 10.1056/NEJM197912273012608.","","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012608"
"514323","Massachusetts patients' Bill of Rights: cabbages, kings, sausages and laws","Curran WJ.","N Engl J Med. 1979 Dec 27;301(26):1433-5. doi: 10.1056/NEJM197912273012607.","Curran WJ","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012607"
"514322","Prevention of doxorubicin-induced hair loss with scalp hypothermia","Dean JC, Salmon SE, Griffith KS.","N Engl J Med. 1979 Dec 27;301(26):1427-9. doi: 10.1056/NEJM197912273012605.","Dean JC","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012605"
"514321","Controversy in counting and attributing events in clinical trials","Sackett DL, Gent M.","N Engl J Med. 1979 Dec 27;301(26):1410-2. doi: 10.1056/NEJM197912273012602.","Sackett DL","N Engl J Med","1979","1979/12/27","","","10.1056/NEJM197912273012602"
