PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
19115494,Accuracy of CT colonography for colorectal cancer screening,Matuchansky C.,N Engl J Med. 2008 Dec 25;359(26):2842-3; author reply 2843-4.,Matuchansky C,N Engl J Med,2008,12/31/2008,,,
19115493,Accuracy of CT colonography for colorectal cancer screening,"Sutradhar R, Paszat L, Rabeneck L.",N Engl J Med. 2008 Dec 25;359(26):2843; author reply 2843-4.,Sutradhar R,N Engl J Med,2008,12/31/2008,,,
19115492,Thrombolysis 3 to 4.5 hours after acute ischemic stroke,Morris DC.,N Engl J Med. 2008 Dec 25;359(26):2841; author reply 2841.,Morris DC,N Engl J Med,2008,12/31/2008,,,
19115491,Thrombolysis 3 to 4.5 hours after acute ischemic stroke,"Fitzpatrick AE, Noone I, O'Shea DD.",N Engl J Med. 2008 Dec 25;359(26):2840; author reply 2841.,Fitzpatrick AE,N Engl J Med,2008,12/31/2008,,,
19115490,Thrombolysis 3 to 4.5 hours after acute ischemic stroke,"Schwamm LH, Fonarow GC.",N Engl J Med. 2008 Dec 25;359(26):2840; author reply 2841.,Schwamm LH,N Engl J Med,2008,12/31/2008,,,
19109586,Concordance for islet autoimmunity among monozygotic twins,"Redondo MJ, Jeffrey J, Fain PR, Eisenbarth GS, Orban T.",N Engl J Med. 2008 Dec 25;359(26):2849-50. doi: 10.1056/NEJMc0805398.,Redondo MJ,N Engl J Med,2008,12/26/2008,,,10.1056/NEJMc0805398
19109585,Cardiac amyloidosis with the E526V mutation of the fibrinogen A alpha-chain,"Mourad G, Delabre JP, Garrigue V.",N Engl J Med. 2008 Dec 25;359(26):2847-8. doi: 10.1056/NEJMc0805012.,Mourad G,N Engl J Med,2008,12/26/2008,,,10.1056/NEJMc0805012
19109584,More on propranolol for hemangiomas of infancy,"Siegfried EC, Keenan WJ, Al-Jureidini S.",N Engl J Med. 2008 Dec 25;359(26):2846; author reply 2846-7. doi: 10.1056/NEJMc086443.,Siegfried EC,N Engl J Med,2008,12/26/2008,,,10.1056/NEJMc086443
19109583,Medical mystery: A 71-year-old man with pancytopenia--the answer,"Braza JM, Bhargava P.",N Engl J Med. 2008 Dec 25;359(26):2845-6; discussion 2846. doi: 10.1056/NEJMc086472.,Braza JM,N Engl J Med,2008,12/26/2008,,,10.1056/NEJMc086472
19109582,Gonadotropin-releasing hormone agonists for endometriosis,"de Ziegler D, Borghese B, Chapron C.",N Engl J Med. 2008 Dec 25;359(26):2844; author reply 2844-5. doi: 10.1056/NEJMc082087.,de Ziegler D,N Engl J Med,2008,12/26/2008,,,10.1056/NEJMc082087
19109581,Accuracy of CT colonography for colorectal cancer screening,"Rockey DC, Gupta S.",N Engl J Med. 2008 Dec 25;359(26):2842; author reply 2843-4. doi: 10.1056/NEJMc082141.,Rockey DC,N Engl J Med,2008,12/26/2008,,,10.1056/NEJMc082141
19109580,Thrombolysis 3 to 4.5 hours after acute ischemic stroke,"Torbey MT, Jauch E, Liebeskind DS; Acute Stroke Advisory Board of the National Stroke Association.",N Engl J Med. 2008 Dec 25;359(26):2839; author reply 2841. doi: 10.1056/NEJMc082179.,Torbey MT,N Engl J Med,2008,12/26/2008,,,10.1056/NEJMc082179
