PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"3696187","Financial incentives for physicians in HMOs. Is there a conflict of interest?","Hillman AL.","N Engl J Med. 1987 Dec 31;317(27):1743-8. doi: 10.1056/NEJM198712313172725.","Hillman AL","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172725"
"3696186","Xanthelasma palpebrarum and corneal arcus in octogenarians","Roederer GO, Bouthillier D, Davignon J.","N Engl J Med. 1987 Dec 31;317(27):1740.","Roederer GO","N Engl J Med","1987","1987/12/31","","",""
"3696185","Selective hypoaldosteronism and impairment of angiotensin II production","Singer F, Kalin MF.","N Engl J Med. 1987 Dec 31;317(27):1739-40. doi: 10.1056/NEJM198712313172714.","Singer F","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172714"
"3696184","Peripheral vision in dyslexia","","N Engl J Med. 1987 Dec 31;317(27):1737-9. doi: 10.1056/NEJM198712313172713.","","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172713"
"3696183","Concurrent morning increase in platelet aggregability and the risk of myocardial infarction and sudden cardiac death","","N Engl J Med. 1987 Dec 31;317(27):1736-7.","","N Engl J Med","1987","1987/12/31","","",""
"3696182","Advertisement for dipyridamole","Payne HA.","N Engl J Med. 1987 Dec 31;317(27):1736. doi: 10.1056/NEJM198712313172712.","Payne HA","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172712"
"3696181","Dipyridamole","","N Engl J Med. 1987 Dec 31;317(27):1734-6. doi: 10.1056/NEJM198712313172710.","","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172710"
"3696180","Toward full disclosure of referral restrictions and financial incentives by prepaid health plans","Levinson DF.","N Engl J Med. 1987 Dec 31;317(27):1729-31. doi: 10.1056/NEJM198712313172708.","Levinson DF","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172708"
"3696179","Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 53-1987. A 55-year-old woman with one year of malabsorption and the recent development of abdominal pain","","N Engl J Med. 1987 Dec 31;317(27):1715-28. doi: 10.1056/NEJM198712313172707.","","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172707"
"3696178","Carcinoid tumor of the appendix: treatment and prognosis","Moertel CG, Weiland LH, Nagorney DM, Dockerty MB.","N Engl J Med. 1987 Dec 31;317(27):1699-701. doi: 10.1056/NEJM198712313172704.","Moertel CG","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172704"
"3696177","Pulsatile secretion of human chorionic gonadotropin in normal adults","Odell WD, Griffin J.","N Engl J Med. 1987 Dec 31;317(27):1688-91. doi: 10.1056/NEJM198712313172702.","Odell WD","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172702"
"3501070","Dapsone-induced methemoglobinemia in a patient with P. carinii pneumonia and AIDS","Reiter WM, Cimoch PJ.","N Engl J Med. 1987 Dec 31;317(27):1740-1. doi: 10.1056/NEJM198712313172715.","Reiter WM","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172715"
"3320750","Physicians as gatekeepers. A complex challenge","Reagan MD.","N Engl J Med. 1987 Dec 31;317(27):1731-4. doi: 10.1056/NEJM198712313172709.","Reagan MD","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172709"
"3320749","Breast reconstruction after mastectomy","Goldwyn RM.","N Engl J Med. 1987 Dec 31;317(27):1711-4. doi: 10.1056/NEJM198712313172706.","Goldwyn RM","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172706"
"3320748","Epiphyseal disorders","Shapiro F.","N Engl J Med. 1987 Dec 31;317(27):1702-10. doi: 10.1056/NEJM198712313172705.","Shapiro F","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172705"
"3320747","A randomized clinical trial of the noninvasive and invasive approaches to drug therapy of ventricular tachycardia","Mitchell LB, Duff HJ, Manyari DE, Wyse DG.","N Engl J Med. 1987 Dec 31;317(27):1681-7. doi: 10.1056/NEJM198712313172701.","Mitchell LB","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172701"
"2892130","Ceftazidime combined with a short or long course of amikacin for empirical therapy of gram-negative bacteremia in cancer patients with granulocytopenia","EORTC International Antimicrobial Therapy Cooperative Group, Calandra T, Klastersky J, Gaya H, Glauser MP, Meunier F, Zinner SH.","N Engl J Med. 1987 Dec 31;317(27):1692-8. doi: 10.1056/NEJM198712313172703.","EORTC International Antimicrobial Therapy Cooperative Group","N Engl J Med","1987","1987/12/31","","","10.1056/NEJM198712313172703"
"3683509","Hospital inpatient mortality. Is it a predictor of quality?","Dubois RW, Rogers WH, Moxley JH 3rd, Draper D, Brook RH.","N Engl J Med. 1987 Dec 24;317(26):1674-80. doi: 10.1056/NEJM198712243172626.","Dubois RW","N Engl J Med","1987","1987/12/24","","","10.1056/NEJM198712243172626"
"3683508","A word about prisons: ""desmoteric""","Tauxe RV, Patterson CB.","N Engl J Med. 1987 Dec 24;317(26):1669-70.","Tauxe RV","N Engl J Med","1987","1987/12/24","","",""
"3683507","Aortic-root dilatation in Noonan's syndrome","Lin AE, Garver KL, Allanson J.","N Engl J Med. 1987 Dec 24;317(26):1668-9. doi: 10.1056/NEJM198712243172616.","Lin AE","N Engl J Med","1987","1987/12/24","","","10.1056/NEJM198712243172616"
