PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
25548814,Immunotherapy for tuberculous pericarditis,"Chaisson RE, Post WS.",N Engl J Med. 2014 Dec 25;371(26):2535. doi: 10.1056/NEJMc1413185.,Chaisson RE,N Engl J Med,2014,12/31/2014,,,10.1056/NEJMc1413185
25539125,Images in clinical medicine. Cervical aortic arch,"Dasari TW, Paliotta M.",N Engl J Med. 2014 Dec 25;371(26):e38. doi: 10.1056/NEJMicm1400771.,Dasari TW,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMicm1400771
25539124,Remission of recalcitrant dermatomyositis treated with ruxolitinib,"Hornung T, Janzen V, Heidgen FJ, Wolf D, Bieber T, Wenzel J.",N Engl J Med. 2014 Dec 25;371(26):2537-8. doi: 10.1056/NEJMc1412997.,Hornung T,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1412997
25539123,Microcytic anemia,"Fonseca EK, de Góis AF.",N Engl J Med. 2014 Dec 25;371(26):2536-7. doi: 10.1056/NEJMc1413161.,Fonseca EK,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1413161
25539122,Microcytic anemia,"Aviner S, Armoni-Sivan R, Bibi H.",N Engl J Med. 2014 Dec 25;371(26):2536. doi: 10.1056/NEJMc1413161.,Aviner S,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1413161
25539121,Microcytic anemia,"Brodzik F, Chikkappa G, Pasquale D.",N Engl J Med. 2014 Dec 25;371(26):2535-6. doi: 10.1056/NEJMc1413161.,Brodzik F,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1413161
25539120,Microcytic anemia,DeLoughery TG.,N Engl J Med. 2014 Dec 25;371(26):2537. doi: 10.1056/NEJMc1413161.,DeLoughery TG,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1413161
25539119,Immunotherapy for tuberculous pericarditis,"Desai NM, Khamar BM.",N Engl J Med. 2014 Dec 25;371(26):2533-4. doi: 10.1056/NEJMc1413185.,Desai NM,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1413185
25539118,Immunotherapy for tuberculous pericarditis,Wiysonge CS.,N Engl J Med. 2014 Dec 25;371(26):2533. doi: 10.1056/NEJMc1413185.,Wiysonge CS,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1413185
25539117,Immunotherapy for tuberculous pericarditis,"Chhabra L, Spodick DH.",N Engl J Med. 2014 Dec 25;371(26):2532-3. doi: 10.1056/NEJMc1413185.,Chhabra L,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1413185
25539116,Immunotherapy for tuberculous pericarditis,"Meybeck A, Pasquet A, Senneville E.",N Engl J Med. 2014 Dec 25;371(26):2532. doi: 10.1056/NEJMc1413185.,Meybeck A,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1413185
25539115,Immunotherapy for tuberculous pericarditis,Nandi D.,N Engl J Med. 2014 Dec 25;371(26):2531-2. doi: 10.1056/NEJMc1413185.,Nandi D,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1413185
25539114,Immunotherapy for tuberculous pericarditis,"Mayosi BM, Ntsekhe M, Smieja M.",N Engl J Med. 2014 Dec 25;371(26):2534. doi: 10.1056/NEJMc1413185.,Mayosi BM,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1413185
25539113,Ultrasonography vs. CT for suspected nephrolithiasis,"Andreana L, Fiore M.",N Engl J Med. 2014 Dec 25;371(26):2530. doi: 10.1056/NEJMc1412853.,Andreana L,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1412853
25539112,Ultrasonography vs. CT for suspected nephrolithiasis,"Dewey M, Schlattmann P.",N Engl J Med. 2014 Dec 25;371(26):2529-30. doi: 10.1056/NEJMc1412853.,Dewey M,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1412853
25539111,Ultrasonography vs. CT for suspected nephrolithiasis,"Shaffer PB, Borgess MP.",N Engl J Med. 2014 Dec 25;371(26):2529. doi: 10.1056/NEJMc1412853.,Shaffer PB,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1412853
25539110,Ultrasonography vs. CT for suspected nephrolithiasis,Smith-Bindman R.,N Engl J Med. 2014 Dec 25;371(26):2531. doi: 10.1056/NEJMc1412853.,Smith-Bindman R,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMc1412853
25539109,"Microbiota, antibiotics, and obesity",Jess T.,N Engl J Med. 2014 Dec 25;371(26):2526-8. doi: 10.1056/NEJMcibr1409799.,Jess T,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMcibr1409799
25539108,"Case records of the Massachusetts General Hospital. Case 40-2014. A 57-year-old man with inguinal pain, lymphadenopathy, and HIV infection","Gandhi RT, Alkasab TK, Nardi V, Branda JA.",N Engl J Med. 2014 Dec 25;371(26):2511-20. doi: 10.1056/NEJMcpc1404518.,Gandhi RT,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMcpc1404518
25539107,Images in clinical medicine. Epiphrenic diverticulum,"Foltz C, Strum W.",N Engl J Med. 2014 Dec 25;371(26):2510. doi: 10.1056/NEJMicm1400734.,Foltz C,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMicm1400734
25539106,Esophageal carcinoma,"Rustgi AK, El-Serag HB.",N Engl J Med. 2014 Dec 25;371(26):2499-509. doi: 10.1056/NEJMra1314530.,Rustgi AK,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMra1314530
25539105,Transparency and the European Medicines Agency--sharing of clinical trial data,"Bonini S, Eichler HG, Wathion N, Rasi G.",N Engl J Med. 2014 Dec 25;371(26):2452-5. doi: 10.1056/NEJMp1409464.,Bonini S,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMp1409464
25539104,Transplantation traffic--geography as destiny for transplant candidates,Ubel PA.,N Engl J Med. 2014 Dec 25;371(26):2450-2. doi: 10.1056/NEJMp1407639.,Ubel PA,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMp1407639
25539103,Very complicated math--reconfiguring organ allocation,"Lamas D, Rosenbaum L.",N Engl J Med. 2014 Dec 25;371(26):2447-50. doi: 10.1056/NEJMp1412764.,Lamas D,N Engl J Med,2014,12/25/2014,,,10.1056/NEJMp1412764
25539447,"Ebola in Freetown area, Sierra Leone--a case study of 581 patients","Ansumana R, Jacobsen KH, Sahr F, Idris M, Bangura H, Boie-Jalloh M, Lamin JM, Sesay S.",N Engl J Med. 2015 Feb 5;372(6):587-8. doi: 10.1056/NEJMc1413685. Epub 2014 Dec 24.,Ansumana R,N Engl J Med,2015,12/25/2014,,,10.1056/NEJMc1413685
25539446,West African Ebola epidemic after one year--slowing but not yet under control,"WHO Ebola Response Team, Agua-Agum J, Ariyarajah A, Aylward B, Blake IM, Brennan R, Cori A, Donnelly CA, Dorigatti I, Dye C, Eckmanns T, Ferguson NM, Formenty P, Fraser C, Garcia E, Garske T, Hinsley W, Holmes D, Hugonnet S, Iyengar S, Jombart T, Krishnan R, Meijers S, Mills HL, Mohamed Y, Nedjati-Gilani G, Newton E, Nouvellet P, Pelletier L, Perkins D, Riley S, Sagrado M, Schnitzler J, Schumacher D, Shah A, Van Kerkhove MD, Varsaneux O, Wijekoon Kannangarage N.",N Engl J Med. 2015 Feb 5;372(6):584-7. doi: 10.1056/NEJMc1414992. Epub 2014 Dec 24.,WHO Ebola Response Team,N Engl J Med,2015,12/25/2014,PMC4368109,EMS62277,10.1056/NEJMc1414992
25539445,Ebola in West Africa at one year--from ignorance to fear to roadblocks,"Drazen JM, Campion EW, Rubin EJ, Morrissey S, Baden LR.",N Engl J Med. 2015 Feb 5;372(6):563-4. doi: 10.1056/NEJMe1415398. Epub 2014 Dec 24.,Drazen JM,N Engl J Med,2015,12/25/2014,,,10.1056/NEJMe1415398
25539444,The proposed rule for U.S. clinical trial registration and results submission,"Zarin DA, Tse T, Sheehan J.",N Engl J Med. 2015 Jan 8;372(2):174-80. doi: 10.1056/NEJMsr1414226. Epub 2014 Dec 24.,Zarin DA,N Engl J Med,2015,12/25/2014,PMC4344313,NIHMS665315,10.1056/NEJMsr1414226
25517722,Images in clinical medicine. Patulous eustachian tube causing hypermobile eardrums,"Kuo CY, Wang CH.",N Engl J Med. 2014 Dec 18;371(25):e37. doi: 10.1056/NEJMicm1403262.,Kuo CY,N Engl J Med,2014,12/18/2014,,,10.1056/NEJMicm1403262
25517721,More on shift of HIV tropism in stem-cell transplantation with CCR5 delta32/delta32 mutation,Hütter G.,N Engl J Med. 2014 Dec 18;371(25):2437-8. doi: 10.1056/NEJMc1412279.,Hütter G,N Engl J Med,2014,12/18/2014,,,10.1056/NEJMc1412279
25517720,More on shift of HIV tropism in stem-cell transplantation with CCR5 delta32/delta32 mutation,"Verheyen J, Esser S, Kordelas L.",N Engl J Med. 2014 Dec 18;371(25):2438. doi: 10.1056/NEJMc1412279.,Verheyen J,N Engl J Med,2014,12/18/2014,,,10.1056/NEJMc1412279
25517719,Ethical challenges in treating friends and family,Abbate A.,N Engl J Med. 2014 Dec 18;371(25):2436-7. doi: 10.1056/NEJMc1412844.,Abbate A,N Engl J Med,2014,12/18/2014,,,10.1056/NEJMc1412844
25517718,Ethical challenges in treating friends and family,"Gold KJ, Goldman EB, Moseley KL.",N Engl J Med. 2014 Dec 18;371(25):2437. doi: 10.1056/NEJMc1412844.,Gold KJ,N Engl J Med,2014,12/18/2014,,,10.1056/NEJMc1412844
25517717,Ivabradine in stable coronary artery disease,"Stulc T, Ceska R.",N Engl J Med. 2014 Dec 18;371(25):2435. doi: 10.1056/NEJMc1413158.,Stulc T,N Engl J Med,2014,12/18/2014,,,10.1056/NEJMc1413158
25517716,Ivabradine in stable coronary artery disease,"Fox K, Ford I, Ferrari R.",N Engl J Med. 2014 Dec 18;371(25):2435. doi: 10.1056/NEJMc1413158.,Fox K,N Engl J Med,2014,12/18/2014,,,10.1056/NEJMc1413158
25517715,Multidrug-resistant tuberculosis and bedaquiline,"Salfinger M, Somoskövi A.",N Engl J Med. 2014 Dec 18;371(25):2435-6. doi: 10.1056/NEJMc1412235.,Salfinger M,N Engl J Med,2014,12/18/2014,,,10.1056/NEJMc1412235
25517714,Multidrug-resistant tuberculosis and bedaquiline,"Diacon AH, Lounis N, Dannemann B.",N Engl J Med. 2014 Dec 18;371(25):2436. doi: 10.1056/NEJMc1412235.,Diacon AH,N Engl J Med,2014,12/18/2014,,,10.1056/NEJMc1412235
25517713,Glucocorticoids and mepolizumab in eosinophilic asthma,"Iikura M, Hojo M, Sugiyama H.",N Engl J Med. 2014 Dec 18;371(25):2433-4. doi: 10.1056/NEJMc1412892.,Iikura M,N Engl J Med,2014,12/18/2014,,,10.1056/NEJMc1412892
